"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP C: Tweedie Semicontinuous",1,"OK",0.0815333872754266,0.0456833651335591,0.187591623386411,0.086646426994686,0.976,0.935883794357306,0.40365328156557,0.168179814270113,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",2,"OK",0.0770992573242969,0.0466445124003248,0.118079745734823,0.0530422155958123,1,0.989322697884999,0.341313030738344,0.130141472920109,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",3,"OK",0.082444495555657,0.0469713359987116,0.207007343033769,0.0404074176137405,0.962,0.85584183860955,0.447866908210101,0.122851913169397,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",4,"OK",0.0779616290440854,0.0481751493558514,0.14608123761126,0.042523766598446,0.792,0.266827431100063,0.387632756612096,0.120485395642531,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",5,"OK",0.083365280967755,0.0472319219039003,0.0915950592740441,0.023935876814198,1,0.863494388544972,0.40059229206949,0.059429404153557,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",6,"OK",0.0699917818194697,0.0432960908433896,0.119050122595885,0.0201043264277728,0.774,0.529525040644882,0.288812410213455,0.0900961082472425,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",7,"OK",0.0738115494155857,0.0464092161243885,0.110166755618963,0.0662751016986798,0.948,0.891491592043228,0.381791043178705,0.140086651114265,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",8,"OK",0.0742093327577503,0.0470256823971712,0.161429747922576,0.0526066029008907,0.986,-0.0502179578748415,0.35686608580948,0.0216027298568596,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",9,"OK",0.0757933857102811,0.0456180403190146,0.117126436202374,0.00773013834645,0.994,0.466179985214081,0.30770306918073,0.0680632473638311,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",10,"OK",0.0811531150847782,0.0456769650381445,0.12949708368571,0.0169443154243317,0.99,0.7022761413818,0.396600414819979,0.0980974305091099,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",11,"OK",0.0746516311169424,0.0461520037103632,0.0951028470036845,0.001969489288167,0.956,0.729776084215399,0.327289924638227,0.0726821418287753,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",12,"OK",0.0771918967028309,0.0453752926096452,0.0804473007560311,0.023411365962829,1,0.929320430358596,0.349129159420395,0.10060326266566,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",13,"OK",0.0857153777098746,0.0466098926164519,0.0832398552944052,0.0415810426876089,0.842,0.896145020634581,0.391696812569146,0.127296420397483,NA,NA,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",14,"OK",0.0823444475951421,0.0458544989480945,0.10907267813365,0.00435758865229014,1,0.897269301871913,0.382131029145491,0.077986858942852,NA,NA,NA,NA,NA,NA
