"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP B: Gamma Hurdle",1,"OK",0.440211374952954,0.0423865839285037,1.08754855968021,0.655345232106817,0.896,0.680584796798482,40.0863648340404,1.09555660705977,0.0721846030610293,0.0602394160714963,0.926,0.918039363556373,1.59435,0.102626
"DGP B: Gamma Hurdle",2,"OK",0.421584099751513,0.0428445281544445,1.24390485254228,0.350363950187016,0.82,0.0479048673368639,42.59141493077,0.0712201495644965,0.0541508031083411,0.0374145281544445,0.804,0.21909825276323,1.5807,0.00543
"DGP B: Gamma Hurdle",3,"OK",0.421562400136518,0.0438150071425033,0.772968638077867,0.526110323088505,0.882,0.836350802640236,39.7046289400532,0.947672723225023,0.0353282319861373,0.0270769928574967,0.904,0.899650581236749,1.67625,0.070892
"DGP B: Gamma Hurdle",4,"OK",0.454699770381793,0.044843615830371,1.45040820602474,0.184580400370922,0.942,0.232141303721118,75.295911573747,0.639280170752715,0.0536577670515846,0.023728384169629,0.946,0.474430849229085,1.8144,0.068572
"DGP B: Gamma Hurdle",5,"OK",0.457632448491053,0.0439652767195307,0.644162960645142,0.349001685560617,0.896,0.73898871049011,39.4730841350954,0.80663413405167,0.0268403867641944,0.0202147232804693,0.918,0.926836384885346,1.68075,0.06418
"DGP B: Gamma Hurdle",6,"OK",0.394656645990003,0.0389982826383319,1.02609383526544,0.682187989228294,0.916,0.707121634360189,45.564710614506,1.0768446352183,0.0310422794803442,0.0220757173616681,0.912,0.863654783165561,1.7165,0.061074
"DGP B: Gamma Hurdle",7,"OK",0.412731291611451,0.0415335894214294,0.734525950536708,0.11419687811958,0.8,0.529364719158963,37.4110601649733,0.298534413491871,0.0370406345700818,0.0193044105785706,0.82,0.808697381950635,1.47465,0.060838
"DGP B: Gamma Hurdle",8,"OK",0.442117702462213,0.0428365889084675,1.00634256801119,0.283230721743978,0.786,0.0766049275201249,40.2774835756289,0.158886980718235,0.112723748188071,0.0832685889084675,0.71,-0.48219544142506,1.50235,-0.040432
"DGP B: Gamma Hurdle",9,"OK",0.413497120269334,0.0419750270049907,0.553812421343645,0.208628128942352,0.902,0.690906223370518,41.7740540328386,0.622125249211686,0.0259512884618992,0.00894502700499068,0.904,0.80254235204802,1.75635,0.03303
"DGP B: Gamma Hurdle",10,"OK",0.440892416833491,0.0424057012727649,1.42926508944611,0.729156204395056,0.898,-0.229608509589692,45.3573354368582,-0.288263787561565,0.129547633865821,0.103829701272765,0.734,-0.525567246961567,1.6826,-0.061424
"DGP B: Gamma Hurdle",11,"OK",0.435426910535891,0.042494549819725,0.622443970837225,0.0590526527799184,0.878,0.605290024288127,37.826909000785,0.494479563315809,0.0242582846562146,0.00854454981972495,0.892,0.829356755668353,1.67045,0.03395
"DGP B: Gamma Hurdle",12,"OK",0.399225240607872,0.0413127816688058,0.994680359944408,0.23873291494901,0.84,0.453856760508042,43.0848259742226,0.637958155556883,0.0308293682560031,0.0164907816688058,0.854,0.800369914803759,1.6324,0.024822
"DGP B: Gamma Hurdle",13,"OK",0.445598951652732,0.0430971532749401,0.83784686746229,0.0885348269875818,0.896,0.378852936196304,45.9095131746208,0.534133778640314,0.0355351848880615,0.0134908467250599,0.92,0.734152012846684,1.69445,0.056588
"DGP B: Gamma Hurdle",14,"OK",0.444790339861028,0.0427676988525768,0.812576284501709,0.209761891046842,0.892,0.383914971578925,46.1006961790142,0.235028448814185,0.0293840957368804,0.0100676988525768,0.926,0.779927704117606,1.75265,0.0327
"DGP B: Gamma Hurdle",15,"OK",0.431324107033544,0.0431108938850413,0.591837124967657,0.0415902869482314,0.932,0.459300239550544,41.8537906528028,0.389733820085313,0.0341144956378917,0.0162748938850413,0.932,0.712508603937469,1.82235,0.026836
"DGP B: Gamma Hurdle",16,"OK",0.426635315566027,0.0420770418205282,1.18451736534896,0.122041291313735,0.926,0.274438293211768,62.0745899776184,0.548676606879762,0.0426328187690403,0.0199269581794718,0.932,0.763345680370477,1.73635,0.062004
"DGP B: Gamma Hurdle",17,"OK",0.455587503029626,0.044928223410997,0.703785031692733,0.378291204505468,0.962,0.707233445179696,48.0218254474699,0.833878707535094,0.0253418262534435,0.00312577658900302,0.96,0.807011494218882,1.8922,0.048054
"DGP B: Gamma Hurdle",18,"OK",0.387489117441344,0.0394454291402483,0.845402383896255,0.323189082013825,0.972,0.521485359253432,55.8842151162115,0.710678199455169,0.0362880360575726,0.0120365708597517,0.952,0.695753225203189,1.85245,0.051482
"DGP B: Gamma Hurdle",19,"OK",0.438170905454963,0.0435745003751088,0.977007448355275,0.500336803793636,0.926,0.745056240434182,42.8001283537933,0.938507709248599,0.0642593673687417,0.0556734996248912,0.944,0.962993067017049,1.5645,0.099248
"DGP B: Gamma Hurdle",20,"OK",0.378416453538787,0.0406584609584649,0.663122314312674,0.0607354598043606,0.746,0.590435575965728,36.925423705431,0.439151913343148,0.0291038137155437,0.0145795390415351,0.814,0.885492576993668,1.42225,0.055238
"DGP B: Gamma Hurdle",21,"OK",0.433086425672409,0.0442783172083121,0.714538793162974,0.305368741801351,0.9,0.861083737733334,41.4067087168603,0.738455167473761,0.0257972979285918,0.0180416827916879,0.922,0.913353663644717,1.69435,0.06232
"DGP B: Gamma Hurdle",22,"OK",0.439283914013103,0.041899050862204,0.698948539719701,0.377896811983207,0.892,0.827863708914332,40.6011471191783,0.81718072599631,0.035992912955371,0.028450949137796,0.924,0.901517710260332,1.66455,0.07035
"DGP B: Gamma Hurdle",23,"OK",0.436520718456189,0.0415700307762468,0.835229279397952,0.0673383014621067,0.802,0.387303848804087,43.3869901814111,0.369182416994082,0.0388784014234831,0.0224220307762468,0.798,0.60148539405982,1.5426,0.019148
"DGP B: Gamma Hurdle",24,"OK",0.465482016050258,0.0448823346221281,1.09231212002229,0.607380250110183,0.746,-0.159376668585422,36.1290389687306,-0.141898234059925,0.0760605362093518,0.0546943346221281,0.742,-0.506760776962895,1.47845,-0.009812
"DGP B: Gamma Hurdle",25,"OK",0.44997736952771,0.0470651179164992,1.47262229813378,0.030382199326699,0.852,0.374856932375945,52.049840892467,0.419595170201011,0.0448516210465739,0.0275148820835008,0.894,0.831640862241772,1.62435,0.07458
"DGP B: Gamma Hurdle",26,"OK",0.407572733483615,0.0418488862980398,0.952587372436194,0.12445239143687,0.866,0.131084742749955,45.7534355345226,0.283120342046745,0.0538330151950379,0.0365408862980398,0.874,0.174056542286371,1.71435,0.005308
"DGP B: Gamma Hurdle",27,"OK",0.430729449116451,0.0426050123318867,0.652575938021621,0.112008570589,0.872,0.476718997841802,38.4981076874435,0.318720878527451,0.03233989047171,0.0139550123318867,0.892,0.700375399521177,1.6884,0.02865
