"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP B: Gamma Hurdle",77,"OK",1.02289044988183,0.0606940080884952,1.56022525071403,0.255188742296415,0.906,0.630026008091043,3.21097868752879,0.767701707585419,0.0787610252870859,0.0612919507764722,0.969,0.411669734910967,0.276249954337812,-0.000597942687977037
"DGP B: Gamma Hurdle",78,"OK",1.04561452517139,0.0606271239470862,1.46541200474118,0.0639038484642013,0.978,0.776224038209887,3.53635527513108,0.981710676707187,0.0933928554237182,0.00980025302407643,0.885,0.562756310871333,0.262238338246277,0.0704273769711626
"DGP B: Gamma Hurdle",79,"OK",1.04600203120956,0.0610052181676773,1.13376881634761,0.172567376454972,0.944,0.6519046866214,3.44439521973175,1.21856940766453,0.0535436589591272,0.0135061545116821,1,0.724090175968883,0.270204445280054,0.0474990636559952
"DGP B: Gamma Hurdle",80,"OK",1.06630061870665,0.0612818203554323,1.18582070377186,0.271014114536031,0.999,0.678365595431798,3.66900629180352,0.795286504170617,0.0684366658866269,0.0258254314944414,0.972,0.516754947278884,0.27417541329088,0.0354563888609909
"DGP B: Gamma Hurdle",81,"OK",1.06816800611648,0.0626048730494471,1.43914007847159,0.527889167491476,0.988,0.435261272515009,3.38489545452604,0.540278838625004,0.0623273998603484,0.0216746589806713,0.999,0.779215597241553,0.263097059311358,0.0409302140687758
"DGP B: Gamma Hurdle",82,"OK",1.01289565650797,0.0607896540560346,0.510296548403823,0.137845388588779,1,0.880931307980312,3.39238755651438,1.15074104509675,0.0415295606077171,0.00771777160877969,1,0.0231687766326441,0.264239629172158,0.0530718824472549
"DGP B: Gamma Hurdle",83,"OK",1.0743991082232,0.0629243351286595,2.55518453856615,0.780139542835047,0.839,0.0455250126747338,3.72575270543787,1.85453865105825,0.0697432224101012,0.040409595391723,0.967,0.369215277190661,0.272871252329411,0.103333930520383
"DGP B: Gamma Hurdle",84,"OK",1.04200613788264,0.0611839298724177,1.19510646652704,0.386907828859401,0.98,0.00667632965513623,3.32912050028461,0.655098309023242,0.0724731605937891,0.0306394427428495,0.962,0.17859290658169,0.269146660958665,0.0305444871295681
"DGP B: Gamma Hurdle",85,"OK",1.05094235104512,0.0615161778567046,1.08146306106681,0.16835817557073,0.997,0.585082830412428,3.35974455529136,1.21930052661585,0.0613845063023044,0.00919758342714644,1,0.654563930298534,0.264946148395228,0.0523185944295581
"DGP B: Gamma Hurdle",86,"OK",1.04629522322477,0.0608943446350825,1.12132463867892,0.179749415757515,0.999,0.738074395648479,3.4950439291334,0.866545807467255,0.0587684324036859,0.000579536863187335,1,0.609412292430182,0.277447817836119,0.0614738814982699
"DGP B: Gamma Hurdle",87,"OK",1.02259248261273,0.0609319992688966,1.6189852881204,0.111745714657771,0.962,0.676552313510486,3.72383712181674,0.910846767954963,0.0771911305825909,0.0150183118558552,0.944,0.551498185080699,0.266530273316642,0.0759503111247518
"DGP B: Gamma Hurdle",88,"OK",1.05034111880291,0.0609734882338237,0.738924795985794,0.156068275727929,1,0.358312647598385,3.62944907149801,0.894272843074983,0.0445422016531077,0.00561020318192402,1,-0.360934454233369,0.259659968412441,0.0553632850518996
"DGP B: Gamma Hurdle",89,"OK",1.06049665081702,0.0607046450933523,2.39322664638866,0.504108487039226,0.782,0.714850077655711,3.60129097829364,0.556388163777793,0.088105552168676,0.00483320529599772,0.922,0.374304691980116,0.272143635210113,0.0655378503893501
"DGP B: Gamma Hurdle",90,"OK",1.08301978364413,0.0627888333578122,1.19959915429038,0.0493229473201585,0.965,0.499312001687449,3.17839127415291,1.03369683632398,0.0896983282912044,0.0109721070839951,0.926,0.703212425725571,0.272925550390266,0.0518167262738171
"DGP B: Gamma Hurdle",91,"OK",1.05618605546814,0.0614344526735641,1.324430087795,0.612505982400552,0.981,0.265921691964048,3.19905471406908,0.443680073067593,0.0681537918670282,0.0560276283538714,0.995,0.594882607536474,0.257791481676745,0.0054068243196927
"DGP B: Gamma Hurdle",92,"OK",1.05527855923422,0.0624828875623715,1.1214444290286,0.0632820656864179,0.945,0.329941912860275,3.20205213800964,1.11856062492063,0.066242349679393,0.0259415778662405,0.983,-0.0530378401028158,0.273958251416348,0.088424465428612
"DGP B: Gamma Hurdle",93,"OK",1.06359791816265,0.0606440795003664,1.01912019134808,0.411838979996663,0.883,0.402379534169263,3.20764911253031,0.651758938165988,0.0682528575365746,0.0248472090808261,0.979,0.252397604066564,0.268599108939175,0.0357968704195403
"DGP B: Gamma Hurdle",94,"OK",1.01487619357549,0.0616027314538811,1.1917105481668,0.233498878205194,0.968,0.680478667360656,3.51130098750471,1.24837507178069,0.0827872374234432,0.0433543892645814,0.871,0.441903722553433,0.265232606969832,0.0182483421892997
"DGP B: Gamma Hurdle",95,"OK",1.06904424706857,0.0607395445150093,1.28100689336375,0.155481228964173,0.924,0.29752709852565,3.3178054327185,1.22452547603275,0.068746976091271,0.0173568232827825,0.983,0.441538976358864,0.268886010378064,0.0780963677977918
"DGP B: Gamma Hurdle",96,"OK",1.04152996590979,0.0619449845977196,1.34709658870872,0.446748428076988,0.913,0.20262129189885,3.37962389273409,1.48827839398678,0.112528933289294,0.0735851874077967,0.749,-0.165333554262621,0.272119967960292,0.135530172005516
"DGP B: Gamma Hurdle",97,"OK",1.05327541626803,0.0619151622607368,1.60103112107036,0.681458580732222,0.87,0.675053368873073,3.27404470038134,1.73473399700025,0.0730055459382843,0.0505993898977269,0.963,0.446155851420566,0.272980141674263,0.112514552158464
"DGP B: Gamma Hurdle",98,"OK",1.01345568092987,0.0592659395427275,0.651346469111034,0.414446611687892,0.999,0.761629999504294,3.36864915075722,0.599009069241979,0.0496288384821559,0.0351992021867482,1,0.769080378303493,0.272862610787021,0.0240667373559793
"DGP B: Gamma Hurdle",99,"OK",1.0786086150435,0.0622135919768826,1.7912712102898,0.709935619260506,0.856,0.319657164433372,3.36603884515619,1.78854423430401,0.0893794469671262,0.0344728593267258,0.831,0.400906195329716,0.272627848913962,0.0966864513036084
"DGP B: Gamma Hurdle",100,"OK",1.05923657618699,0.0614305791445623,1.73874498625699,0.514852257172866,0.996,0.221132520446359,3.54188347422425,0.544384319014128,0.0434039878352893,0.00829793857268394,1,0.513701443263319,0.268241850957594,0.0531326405718783
