"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP A: Log-Normal Hurdle",1,"OK",1.17996553942862,0.0605390965549027,4.13620513610608,1.33976107857244,0.998,0.433824131700519,6.89652135592607,-0.159795539143818,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",2,"OK",1.22570800112796,0.0625899902775181,1.11387037621042,0.698927555703021,0.966,0.230147780435497,5.33472139146876,0.526780445424942,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",3,"OK",1.138352700455,0.061989410173133,3.4950148559048,1.10154305128689,0.982,0.035252316017955,5.61307245913308,0.0368096491681165,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",4,"OK",1.17508941444721,0.0635660014797508,3.02226347404374,1.01376879849778,1,0.327737683486418,6.30794577241306,0.161320615949435,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",5,"OK",1.2876001343682,0.0624933389534259,1.65928623002526,0.544806630638879,1,0.597295483173064,5.72396799360092,0.742793503729326,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",6,"OK",1.20919564087739,0.0594924405387721,4.00177389690874,1.28805812410011,0.808,0.38215892078874,5.95348758390125,2.4972537649775,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",7,"OK",1.24272324406983,0.0641070511478757,4.10821952049391,0.536025644937898,0.942,0.0961651035200524,6.22031214784014,0.706697599131935,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",8,"OK",1.23533087256513,0.0634768842927548,2.65785445961925,0.817060072281919,0.944,0.118682132848969,5.50726070535989,0.41827080028321,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",9,"OK",1.16810019238596,0.0611201041898992,2.80996527684577,0.247680276484041,0.94,0.0952324386519204,6.10719582765378,0.920419915901916,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",10,"OK",1.21034576634417,0.0604860253685846,4.96926812044842,0.898806318716115,0.848,-0.106672596930359,6.71775038318581,0.311539447628051,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",11,"OK",1.19091520045388,0.0616537347756644,1.75424484006145,0.338228301203022,0.902,-0.302793721229941,5.29994187020909,0.852686899250855,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",12,"OK",1.16150667330237,0.0614808953529731,14.353502045273,1.55118186007077,0.976,0.473448443703943,9.24441252991791,-0.389675186768398,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",13,"OK",1.23745499001064,0.0620441719790205,1.28727522796423,0.536499557143002,0.978,0.688182926233015,5.72488111045421,1.77395454715365,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",14,"OK",1.14251837144947,0.0604188110902955,1.80892392548555,0.370976730659531,0.906,0.219770596816126,6.36850746304791,1.513495102109,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",15,"OK",1.15765326099704,0.0611058087363861,1.70877771347428,0.0894097686575486,1,0.768675837970298,6.87310499711791,1.24706302965459,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",16,"OK",1.18272311704109,0.0619602601447845,2.22806250753614,0.586859548805779,1,0.273434642400368,6.15920581631148,0.595863568235316,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",17,"OK",1.21953987764009,0.0613186769884893,5.25248624253288,1.48848568627394,0.966,0.287727050743687,6.83730802800655,-0.26894580863385,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",18,"OK",1.15371496520388,0.0627559442926202,1.79711137492697,0.218336161270279,0.998,0.469822158248749,5.90948685795726,0.935378803933602,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",19,"OK",1.20517688847601,0.0615033413301548,3.49504052236583,1.25224436696504,0.96,0.0851440613694537,6.16043887099938,-0.0470674784890296,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",20,"OK",1.08908016929901,0.0593580706041682,1.99410765764318,0.0714419344944412,0.938,0.164112684143888,5.55872233469255,1.01763823480457,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",21,"OK",1.1753057630239,0.0624087421110823,2.50102026896999,0.569633276732731,0.992,0.0685124747597287,5.57491204844595,0.605672486291172,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",22,"OK",1.26017416854371,0.0625289378694805,2.22213658040024,0.49563487568146,0.944,0.316303734540787,5.55463170739902,0.764539292862254,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",23,"OK",1.21222375475629,0.0622551417987836,2.42047112055781,0.0113212636224378,0.96,0.268056908176305,6.90655934774254,1.20090249113385,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",24,"OK",1.15187327797799,0.0613241601348717,2.58055787857504,0.671694573330067,0.998,0.680015118695784,6.29455870650741,0.480178704647924,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",25,"OK",1.23616732980596,0.0630372854666818,1.84813980375784,0.0480172526891554,0.864,-0.0666543234765657,5.28490940000839,1.28418458249512,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",26,"OK",1.1471778355918,0.0626077677653321,6.87861173217671,1.74954768912989,0.602,0.214259328079708,7.38388339549072,-0.602369853538091,NA,NA,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",27,"OK",1.24252594087735,0.0621495900654628,1.8460257068954,0.698367602297862,1,0.0852966651204185,5.40157207664722,0.544158338579488,NA,NA,NA,NA,NA,NA
