"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP A: Log-Normal Hurdle",1,"OK",1.17996553942862,0.0605390965549027,0.944604917472615,0.141444688846908,1,0.498785466464624,50.9642332656262,1.32141022827553,0.0534688991650817,0.0427090965549027,1,0.0102074000924739,2,0.01783
"DGP A: Log-Normal Hurdle",2,"OK",1.22570800112796,0.0625899902775181,1.01446321997959,0.142753358294778,1,0.220162216522183,52.1304758505381,1.36846135942274,0.0427344349760025,0.0178239902775181,1,0.0953711556457365,1.99805,0.044766
"DGP A: Log-Normal Hurdle",3,"OK",1.138352700455,0.061989410173133,0.722916584308714,0.0158742211781631,1,0.45979641205573,47.6333183773121,1.15422692163317,0.0433683397122724,0.028037410173133,1,0.0753938633154601,2,0.033952
"DGP A: Log-Normal Hurdle",4,"OK",1.17508941444721,0.0635660014797508,1.29120503850761,0.7672638308987,1,0.324290727098202,49.7144582429451,1.94235324534591,0.0491524073935409,0.0256339985202492,1,0.0288542792171275,1.996,0.0892
"DGP A: Log-Normal Hurdle",5,"OK",1.2876001343682,0.0624933389534259,1.22291665551558,0.792080193902841,1,0.379695261010411,48.0368671203317,2.07968032827105,0.0512410910078119,0.0401473389534259,0.994,0.010925900263931,1.984,0.022346
"DGP A: Log-Normal Hurdle",6,"OK",1.20919564087739,0.0594924405387721,0.985899817996574,0.447712546691805,1,0.4114225140658,51.3734176862718,1.65690818756919,0.034292779578747,0.0090684405387721,0.998,0.153171642268295,1.998,0.050424
"DGP A: Log-Normal Hurdle",7,"OK",1.24272324406983,0.0641070511478757,1.70244381976529,1.47865888933982,1,0.496472031778425,50.1092272393131,2.72138213340965,0.0338525318048772,0.00560905114787567,1,0.0859140078496491,2,0.058498
"DGP A: Log-Normal Hurdle",8,"OK",1.23533087256513,0.0634768842927548,0.925380685706183,0.404959842282437,1,0.364839179339124,49.4030366324932,1.64029071484757,0.0396583525953122,0.0231028842927549,1,0.111131217116468,2,0.040374
"DGP A: Log-Normal Hurdle",9,"OK",1.16810019238596,0.0611201041898992,1.54849712248401,1.19963399268484,1,0.401668693618607,49.7950240019857,2.3677341850708,0.0559579942709385,0.0450001041898992,0.996,0.0399364815732659,1.99205,0.01612
"DGP A: Log-Normal Hurdle",10,"OK",1.21034576634417,0.0604860253685846,1.67112206411997,0.451014845633656,1,0.155872088476965,50.9152198318144,1.66136061197782,0.0412496125204958,0.00589197463141539,0.986,0.0448505233058608,1.962,0.066378
