"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Dollar-scale CATE","Sex","Male - Female",-4.1266524428959,-36.2745363406007,40.8758490638332,-4.13662127894024,-34.6610258785534,39.2880937238141,1.07544455596,-42.7622999312264,34.4890573733459,0.372125
"Dollar-scale CATE","Race and ethnicity","Hispanic - White, non-Hispanic",-73.3366477475987,-113.760254245534,-31.3720483488976,-62.3783077493051,-100.738508383721,-23.9169598809096,3.23513501529454,-100.020836150008,-24.7357793486025,0.00175
"Dollar-scale CATE","Race and ethnicity","Hispanic - Black, non-Hispanic",6.45177921844683,-43.5631258957612,64.5864610429079,9.03938988579426,-39.8422632211434,65.7488138543703,3.38220998574686,-47.1784034939521,65.2571832655406,0.594875
"Dollar-scale CATE","Race and ethnicity","Hispanic - Asian, non-Hispanic",-63.3123424023265,-128.220557727129,-15.444232358143,-57.199062926467,-120.768057857955,-11.0780070828988,5.00631656792994,-110.333584515199,-4.0645413377348,0.01225
"Dollar-scale CATE","Race and ethnicity","Hispanic - Other or multiple, non-Hispanic",-4.4543440087861,-69.9075775361007,79.8449260342299,4.96626220647225,-57.7160021717131,84.7685686299538,4.87634658413498,-70.9855810748118,80.9181054877563,0.4995
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic - Black, non-Hispanic",79.7884269660455,18.2566214043516,141.798083349317,71.4176976350994,13.5355408651941,131.281727762276,2.18110010331442,11.9629548070076,130.872440463191,0.990875
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic - Asian, non-Hispanic",10.0243053452721,-63.4728177116816,68.8821271814212,5.17924482283808,-65.3683252596268,61.0105851590823,4.44928527602131,-55.9050683015501,66.2635579472263,0.616125
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic - Other or multiple, non-Hispanic",68.8823037388126,-8.42586705402334,158.834097529072,67.3445699557774,-5.33510452105911,153.003122906986,3.70980062434546,-13.1737425637603,147.862882475315,0.96625
"Dollar-scale CATE","Race and ethnicity","Black, non-Hispanic - Asian, non-Hispanic",-69.7641216207734,-152.107454343744,-0.659345754215032,-66.2384528122613,-145.614936620943,0.919324419154528,4.38952336758093,-141.210190266694,8.73328464217168,0.027875
"Dollar-scale CATE","Race and ethnicity","Black, non-Hispanic - Other or multiple, non-Hispanic",-10.9061232272329,-99.7475053214784,82.3008242463029,-4.07312767932201,-89.3870601908548,84.8134128530625,4.32932732132873,-92.9195081009687,84.7732527423247,0.451875
"Dollar-scale CATE","Race and ethnicity","Asian, non-Hispanic - Other or multiple, non-Hispanic",58.8579983935404,-20.8904035728824,157.759094533236,62.1653251329393,-15.3154412764566,157.111288019983,5.5920514587631,-28.032553502188,152.363203768067,0.933375
"Dollar-scale CATE","Age group","0-17 - 18-34",-42.0219181649375,-81.8845643159014,8.01886071222387,-47.2207943297574,-86.3864506781067,2.22494520708526,1.89797167336799,-91.3473206383917,-3.09426802112313,0.03075
