"Smearing","Basis","Covariate","Level","N","Weighted_N","Estimate","CI_low","CI_high","P_gt_0","Design_SE","Design_CI_low","Design_CI_high"
"Scalar Duan","Analytic sample","Overall","All",18763,331946662,188.024326417769,156.946511698857,220.668541443,1,NA,NA,NA
"Scalar Duan","Analytic sample","Sex","Male",8928,163320493,185.861259382866,153.063265921922,220.984398051386,1,NA,NA,NA
"Scalar Duan","Analytic sample","Sex","Female",9835,168626169,189.987911825762,149.586374801715,230.490838664583,1,NA,NA,NA
"Scalar Duan","Analytic sample","Race and ethnicity","Hispanic",4165,65423507,144.819622172777,113.967430209675,178.041430359141,1,NA,NA,NA
"Scalar Duan","Analytic sample","Race and ethnicity","White, non-Hispanic",10243,190318746,218.156269920375,176.613615685906,260.390275825704,1,NA,NA,NA
"Scalar Duan","Analytic sample","Race and ethnicity","Black, non-Hispanic",2495,41490550,138.36784295433,84.4680805973165,192.743236870641,1,NA,NA,NA
"Scalar Duan","Analytic sample","Race and ethnicity","Asian, non-Hispanic",1143,21264813,208.131964575103,152.573289335724,275.422451689393,1,NA,NA,NA
"Scalar Duan","Analytic sample","Race and ethnicity","Other or multiple, non-Hispanic",717,13449046,149.273966181563,64.2391911212625,223.356646754854,0.99975,NA,NA,NA
"Scalar Duan","Analytic sample","Age group","0-17",3647,72283273,127.037617608336,83.8707550911689,176.921676023671,1,NA,NA,NA
"Scalar Duan","Analytic sample","Age group","18-34",3352,74300254,169.059535773273,139.775439058831,201.822756377747,1,NA,NA,NA
"Scalar Duan","Analytic sample","Age group","35-49",3468,63359359,175.268372730403,147.148225643887,205.326615416442,1,NA,NA,NA
"Scalar Duan","Analytic sample","Age group","50-64",3760,62096233,202.34621279049,164.114689981121,239.585750036425,1,NA,NA,NA
"Scalar Duan","Analytic sample","Age group","65+",4536,59907543,248.953748793144,176.240696765116,315.744068889384,1,NA,NA,NA
"Scalar Duan","Analytic sample","Poverty cat.","Poor",2834,36304510,155.614055967658,114.168766659065,198.170256743961,1,NA,NA,NA
"Scalar Duan","Analytic sample","Poverty cat.","Near-poor",877,12426678,168.886655884782,103.536710111212,252.177104752702,1,NA,NA,NA
"Scalar Duan","Analytic sample","Poverty cat.","Low-income",2458,40133251,126.786637065242,69.0878349799951,198.412593410619,1,NA,NA,NA
"Scalar Duan","Analytic sample","Poverty cat.","Middle-income",5243,95527595,212.024536671182,171.0702579107,255.499409961444,1,NA,NA,NA
"Scalar Duan","Analytic sample","Poverty cat.","High-income",7351,147554630,206.16112162698,159.169843503316,250.689885250016,1,NA,NA,NA
"Scalar Duan","Analytic sample","Family income (weighted tertile)","Low-income tertile",7511,110667520,172.199463016248,136.589559503272,212.715332677037,1,NA,NA,NA
"Scalar Duan","Analytic sample","Family income (weighted tertile)","Middle-income tertile",5922,110653084,207.890780658511,173.709447208881,242.161083180847,1,NA,NA,NA
"Scalar Duan","Analytic sample","Family income (weighted tertile)","High-income tertile",5330,110626059,188.251607279898,144.987849574901,230.874075762712,1,NA,NA,NA
"Scalar Duan","Analytic sample","Region","Northeast",2892,56239594,204.393524554753,159.661666959825,249.48069486188,1,NA,NA,NA
"Scalar Duan","Analytic sample","Region","Midwest",3837,68182690,195.0448742349,149.369826313709,247.820769443511,1,NA,NA,NA
"Scalar Duan","Analytic sample","Region","South",7375,129312807,161.279707756584,128.684470274063,196.398253017416,1,NA,NA,NA
"Scalar Duan","Analytic sample","Region","West",4659,78211572,214.417114492409,166.667049243314,265.172389490842,1,NA,NA,NA
"Scalar Duan","Analytic sample","Marital status","Married",7497,132515133,199.655246783058,159.345428723214,239.487724126398,1,NA,NA,NA
"Scalar Duan","Analytic sample","Marital status","Not married",11266,199431529,180.284488855318,147.939362620382,214.960906962196,1,NA,NA,NA
"Scalar Duan","Analytic sample","Marital status (detailed)","Married",7497,132515133,199.655246783058,159.345428723214,239.487724126398,1,NA,NA,NA
"Scalar Duan","Analytic sample","Marital status (detailed)","Widowed",1261,16088547,244.46725000113,134.250002049812,351.337264326076,0.999875,NA,NA,NA
"Scalar Duan","Analytic sample","Marital status (detailed)","Divorced",1933,27656264,226.297583693042,144.556658483674,294.359404033338,1,NA,NA,NA
