"Scale","Covariate","Level","N","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low_design","Population_CI_high_design"
"Dollar-scale CATE","Overall","All",18763,147.868017503216,90.0621054800444,208.44444253987,143.20074943172,88.9472413149985,197.454257548442
"Dollar-scale CATE","Sex","Male",8928,165.513838484249,99.7754671890719,234.295128784006,162.991503437581,99.5830412514985,226.399965623663
"Dollar-scale CATE","Sex","Female",9835,131.849523378289,51.9559873547094,214.865358111127,124.03269436485,48.4525635583748,199.612825171324
"Dollar-scale CATE","Race and ethnicity","Hispanic",4165,144.519941392248,65.8575617695969,228.980436203571,138.415991270477,58.4608692950799,218.371113245874
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic",10243,144.844951594814,66.2518799632454,227.233459005479,143.316484955609,69.7709527204356,216.862017190782
"Dollar-scale CATE","Race and ethnicity","Black, non-Hispanic",2495,163.027007772077,48.4896517420804,289.430855897353,144.247896379812,27.8548440019527,260.640948757671
"Dollar-scale CATE","Race and ethnicity","Asian, non-Hispanic",1143,213.124738234095,26.6113733484141,395.710263231571,210.452172189403,29.4282898410552,391.476054537751
"Dollar-scale CATE","Race and ethnicity","Other or multiple, non-Hispanic",717,53.7256026995104,-135.19349048026,236.341811111364,55.2743188600031,-125.407301484275,235.955939204282
"Dollar-scale CATE","Age group","0-17",3647,121.742260121241,46.3685039921089,200.821900098321,119.352387265713,39.8482176161231,198.856556915303
"Dollar-scale CATE","Age group","18-34",3352,163.479780064543,99.1422779308592,231.287156706971,166.887437190207,97.3161478257333,236.45872655468
"Dollar-scale CATE","Age group","35-49",3468,135.080302550174,77.0735547696722,193.491736740401,130.490788190666,71.1461288211472,189.835447560184
"Dollar-scale CATE","Age group","50-64",3760,133.643482650842,64.9925538990452,200.603948907709,123.967053188561,55.2305065130333,192.70359986409
"Dollar-scale CATE","Age group","65+",4536,178.904625873713,42.5511644316227,332.198869392588,175.977020068446,35.1084854826354,316.845554654256
"Dollar-scale CATE","Poverty cat.","Poor",2834,159.114663096198,20.019990288639,334.136230736899,152.585114252111,0.433187667597934,304.737040836624
"Dollar-scale CATE","Poverty cat.","Near-poor",877,407.370194216084,56.0789300867665,940.904998257707,391.163102475708,-30.8069941944104,813.133199145827
"Dollar-scale CATE","Poverty cat.","Low-income",2458,169.324452897869,39.6938104300854,323.169240820317,165.320621472587,29.9638459450132,300.67739700016
"Dollar-scale CATE","Poverty cat.","Middle-income",5243,191.706972721363,108.98294682327,277.373513497732,190.119033141099,112.639618515983,267.598447766216
"Dollar-scale CATE","Poverty cat.","High-income",7351,74.1305718500398,-18.1791293741851,161.725178181351,83.6175546589311,-1.38897264330426,168.624081961166
"Dollar-scale CATE","Family income (weighted tertile)","Low-income tertile",7511,209.628901205289,119.42556222362,312.862174770032,205.52632231066,118.163295847464,292.889348773857
"Dollar-scale CATE","Family income (weighted tertile)","Middle-income tertile",5922,138.377971253938,72.9395961326782,202.575833565912,142.588365290039,81.8382815091798,203.338449070898
"Dollar-scale CATE","Family income (weighted tertile)","High-income tertile",5330,71.3790975035817,-18.8581779318255,155.488588955804,81.4643515349345,-3.45120437482157,166.379907444691
"Dollar-scale CATE","Region","Northeast",2892,81.556218244035,-51.5038331156213,216.996266535476,81.4073241047795,-47.5682593365772,210.382907546136
"Dollar-scale CATE","Region","Midwest",3837,132.631562896922,27.9099334678357,239.423116940973,125.211181333264,27.7453499043807,222.677012762148
"Dollar-scale CATE","Region","South",7375,204.014030779026,130.370153043262,282.670355624305,198.746594580317,126.718953873684,270.774235286949
"Dollar-scale CATE","Region","West",4659,112.701490753442,12.0744908618705,217.026667273414,111.479422364561,13.7651498983874,209.193694830734
"Dollar-scale CATE","Marital status","Married",7497,104.413908206972,27.1734219988232,180.183324144859,103.648009339112,29.27819415808,178.017824520144
"Dollar-scale CATE","Marital status","Not married",11266,176.784709975605,101.601687170153,256.331017462822,169.482133531999,100.28032379321,238.683943270788
"Dollar-scale CATE","Marital status (detailed)","Married",7497,104.413908206972,27.1734219988232,180.183324144859,103.648009339112,29.27819415808,178.017824520144
"Dollar-scale CATE","Marital status (detailed)","Widowed",1261,343.461796734446,8.65309698404137,769.852149177077,342.174338328181,-48.1518622530411,732.500538909403
"Dollar-scale CATE","Marital status (detailed)","Divorced",1933,73.1182049997345,-103.976690520351,251.694765277849,66.5101295028773,-111.063314102791,244.083573108546
"Dollar-scale CATE","Marital status (detailed)","Separated",342,120.501806398104,-98.9360890279969,380.592222191647,114.13722507473,-128.111915302469,356.386365451928
"Dollar-scale CATE","Marital status (detailed)","Never married",4579,221.078537305413,123.987649005736,320.750322361974,213.855714554039,120.760984143737,306.950444964342
"Dollar-scale CATE","Marital status (detailed)","Under 16",3151,115.418434315744,30.5785482239857,203.800020398052,112.019864372813,22.3765880709696,201.663140674656
