"Scale","Covariate","Level","N","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low_design","Population_CI_high_design"
"Participation-margin CATE","Overall","All",18763,0.120347338871561,0.103583872542198,0.136911322903866,0.117871863723997,0.101420927356835,0.13432280009116
"Participation-margin CATE","Sex","Male",8928,0.128107395922645,0.106564679191555,0.149876730603672,0.125732346984783,0.104124389854613,0.147340304114952
"Participation-margin CATE","Sex","Female",9835,0.113302927142829,0.0915180281685203,0.135290696911122,0.110258703763021,0.0887262577617945,0.131791149764248
"Participation-margin CATE","Race and ethnicity","Hispanic",4165,0.107630314039962,0.0744668257859865,0.14078057953478,0.104363778742799,0.0719088878684919,0.136818669617107
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic",10243,0.139354557676537,0.119458455571167,0.159640552513909,0.1360717518848,0.115592153210572,0.156551350559028
"Participation-margin CATE","Race and ethnicity","Black, non-Hispanic",2495,0.0876049736078019,0.0490780505932552,0.127770508983318,0.0822998921525707,0.0426455259262491,0.121954258378892
"Participation-margin CATE","Race and ethnicity","Asian, non-Hispanic",1143,0.128525261119233,0.0702805353077502,0.185760878671489,0.127899160327689,0.0709721844616014,0.184826136193776
"Participation-margin CATE","Race and ethnicity","Other or multiple, non-Hispanic",717,0.0235834649639271,-0.0458204035173905,0.0932442202436893,0.0199198235307921,-0.0496854111888559,0.0895250582504401
"Participation-margin CATE","Age group","0-17",3647,0.0287293229177111,-0.00357167427375757,0.0615039795056842,0.0274116618774817,-0.00458680789091341,0.0594101316458767
"Participation-margin CATE","Age group","18-34",3352,0.140243239812241,0.114445848144534,0.165013598102524,0.143237139591264,0.117319409142415,0.169154870040114
"Participation-margin CATE","Age group","35-49",3468,0.137983465705265,0.117789744817902,0.158088008051033,0.139073430164563,0.118408727112871,0.159738133216254
"Participation-margin CATE","Age group","50-64",3760,0.143332515097173,0.124101868805534,0.162731891068173,0.14362108232156,0.124038631501616,0.163203533141504
"Participation-margin CATE","Age group","65+",4536,0.146770066773444,0.118223312313642,0.174576836343695,0.146446994555864,0.118747296951484,0.174146692160243
"Participation-margin CATE","Poverty cat.","Poor",2834,0.127453422078405,0.070459142620092,0.188197804661595,0.124785930600502,0.0648280950952231,0.184743766105781
"Participation-margin CATE","Poverty cat.","Near-poor",877,0.111017644505894,0.0167578155317894,0.211228857818637,0.106735076033128,0.0100506833859136,0.203419468680343
"Participation-margin CATE","Poverty cat.","Low-income",2458,0.0664337240117841,0.0232221742289178,0.110455854656743,0.0648845688961091,0.0205293568179204,0.109239780974298
"Participation-margin CATE","Poverty cat.","Middle-income",5243,0.152749210502747,0.127066389518815,0.179168998379372,0.14931523542745,0.123178397846291,0.175452073008608
"Participation-margin CATE","Poverty cat.","High-income",7351,0.113638068638057,0.0901704493822662,0.137789569970268,0.111164003599931,0.0868043018638792,0.135523705335983
"Participation-margin CATE","Family income (weighted tertile)","Low-income tertile",7511,0.12492973248721,0.0968970229882258,0.152711034379077,0.1236376793194,0.0967873653067998,0.150487993332
"Participation-margin CATE","Family income (weighted tertile)","Middle-income tertile",5922,0.131851771737521,0.113849144086854,0.149165296143638,0.130426408747816,0.111890062911233,0.148962754584398
"Participation-margin CATE","Family income (weighted tertile)","High-income tertile",5330,0.101107637205639,0.0757797765457822,0.126353921141867,0.0995462751887335,0.0738379971671968,0.12525455321027
"Participation-margin CATE","Region","Northeast",2892,0.115803300541481,0.0800631148232157,0.151727305648914,0.11044250353782,0.0736938477253851,0.147191159350254
"Participation-margin CATE","Region","Midwest",3837,0.106659467396746,0.0756750084924294,0.137432672922837,0.104727289347914,0.0734908168985851,0.135963761797243
"Participation-margin CATE","Region","South",7375,0.123816472901636,0.0992647583078936,0.148564370498157,0.124017311640592,0.099612385724867,0.148422237556316
"Participation-margin CATE","Region","West",4659,0.128949368969789,0.101000716633082,0.157124424857863,0.124512460513455,0.0956705905337289,0.153354330493181
"Participation-margin CATE","Marital status","Married",7497,0.137623357217283,0.114546274929079,0.160978909121271,0.137190442833171,0.113756608102695,0.160624277563647
"Participation-margin CATE","Marital status","Not married",11266,0.108850950664754,0.0872839560376808,0.13016035008304,0.105035357412398,0.0840493753743987,0.126021339450398
"Participation-margin CATE","Marital status (detailed)","Married",7497,0.137623357217283,0.114546274929079,0.160978909121271,0.137190442833171,0.113756608102695,0.160624277563647
"Participation-margin CATE","Marital status (detailed)","Widowed",1261,0.130355410662226,0.0581228373395373,0.200940801176406,0.131019341447458,0.0600855462636324,0.201953136631283
"Participation-margin CATE","Marital status (detailed)","Divorced",1933,0.142334221299434,0.0955229465221738,0.187420612786487,0.143055962507786,0.0973367667839589,0.188775158231614
"Participation-margin CATE","Marital status (detailed)","Separated",342,0.160680302130574,0.0559145148278096,0.266747987131008,0.16170059414968,0.0565464146341415,0.266854773665219
"Participation-margin CATE","Marital status (detailed)","Never married",4579,0.150909335175521,0.122098666670143,0.180797694631916,0.151731474294858,0.122527062000778,0.180935886588938
"Participation-margin CATE","Marital status (detailed)","Under 16",3151,0.0129603549587052,-0.023541173800369,0.0498112347655966,0.0108879412290906,-0.0252804062924456,0.0470562887506269
