"Estimand","Estimate","CI_low","CI_high","P_gt_0","Posterior_SD","Design_SE","Total_SE","CI_low_design","CI_high_design"
"Dollar-scale ATE, analytic-sample average",188.024326417769,156.946511698857,220.668541443,1,16.2224935480599,NA,NA,NA,NA
"Dollar-scale ATE, survey-weighted population target",184.665081986391,154.886812478679,215.276787942792,1,15.2638478560548,1.36294731079446,15.3245775388684,154.628910010209,214.701253962573
"Participation-margin ATE, analytic-sample average",0.139058883742782,0.12330310804511,0.15459226469089,1,0.00799816707233395,NA,NA,NA,NA
"Participation-margin ATE, survey-weighted population target",0.139230734995322,0.123564702152847,0.154563310848557,1,0.00799842297333682,0.000747487319375073,0.00803327500792975,0.12348551597978,0.154975954010865
