"stratum","n","fitted_mean_midpoint","residual_sd","smearing_factor"
1,1693,5.71878614755401,1.00606020201357,1.82344300034266
2,1692,6.00430475173234,1.11387623311487,2.20298193384503
3,1692,6.13121300203428,1.13890429793169,2.20511175305211
4,1692,6.26983609168418,1.19268240454505,2.35691905008694
5,1693,6.42328793526308,1.19730338715534,2.36724779883706
