"quantity","n_chains","n_draws","mean","rhat","ess","ess_per_draw","mcse","geweke_z"
"ATE (response scale)",4,2000,188.024326417769,1.00192361907376,1675.58986016012,0.209448732520015,0.396308829579166,1.92726480343195
"Weighted ATE (response scale)",4,2000,184.665081986391,1.00186477512333,1471.88589785282,0.183985737231602,0.397856956744111,1.76463152798945
"Hurdle ATE (probability)",4,2000,0.139058883742782,1.00715831331046,1312.63752489341,0.164079690611676,0.000220758820031557,2.80405758720676
"Duan smearing factor",4,2000,2.20559145512751,1.00022188305194,5868.21936090188,0.733527420112735,0.000366213645176563,0.972070547777337
"sigma_c (log-scale SD)",4,2000,1.13805095801478,1.00055920527807,8000.00000000001,1,9.82787098975914e-05,0.555839833476463
"Mean mu_c (log-scale prognostic)",4,2000,6.00235082143814,1.00106527208509,1790.93322513356,0.223866653141695,0.000479363950350788,1.46726342630824
"Mean tau_c (log-scale treatment)",4,2000,0.107306036301759,1.00108269312978,1735.20356074866,0.216900445093582,0.000734815756539947,1.43295593229383
