"Scale","Covariate","Level","N","Weighted_N","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_total_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Participation-margin CATE","Overall","All",18763,331946662.488976,0.139210819875735,0.123495119380871,0.155188197634984,0.139654833237383,0.124172799404644,0.155689047725056,0.000709326415878215,0.00810296191989974,0.12377302787438,0.155536638600387,1
"Participation-margin CATE","Sex","Male",8928,163320493.03597,0.142093294131964,0.123013009015743,0.165932523639002,0.142512929432908,0.123391769169535,0.166176280263042,0.000866099354838953,0.0110998241882264,0.120757274023984,0.164268584841832,1
"Participation-margin CATE","Sex","Female",9835,168626169.453006,0.136594172172674,0.112963440830815,0.156714210435962,0.136886664563971,0.11326980122306,0.15675025807517,0.000719512890948016,0.0111402761263084,0.115051723356406,0.158721605771535,1
"Participation-margin CATE","Race and ethnicity","Hispanic",4165,65423507.11554,0.127592597344729,0.100313029646029,0.151150017452313,0.128157521391259,0.101043707048299,0.151311944010533,0.00174192110792509,0.0128140090338238,0.103042063684965,0.153272979097554,1
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic",10243,190318745.806817,0.151256558012062,0.131633531799884,0.170658409689628,0.150610536308678,0.131216372440863,0.169994067514486,0.000730174032944794,0.00987477867310676,0.131255970109388,0.169965102507967,1
"Participation-margin CATE","Race and ethnicity","Black, non-Hispanic",2495,41490550.284948,0.11326874531055,0.067956243526132,0.150750752087887,0.114219718253253,0.0690175735734232,0.151128043543756,0.00140909091392587,0.0221647617064889,0.0707767853085344,0.157662651197971,1
"Participation-margin CATE","Race and ethnicity","Asian, non-Hispanic",1143,21264813.141554,0.155228589374921,0.117107310932767,0.203404793093871,0.153593209395099,0.115474810097055,0.201162427122577,0.00238344588063297,0.0201380913431955,0.114122550362436,0.193063868427762,1
"Participation-margin CATE","Race and ethnicity","Other or multiple, non-Hispanic",717,13449046.140117,0.0993538695463264,0.0190052777410454,0.153312483948725,0.0969781076284091,0.0170397198864902,0.150776829708445,0.00224472899234776,0.0361986810369387,0.0260286927960092,0.167927522460809,0.992375
"Participation-margin CATE","Age group","0-17",3647,72283273.015524,0.094695937604248,0.0560990693624723,0.132011411135953,0.0926284073379488,0.0548176449387136,0.129304065188485,0.00121220814195845,0.0188368894206411,0.0557081040734923,0.129548710602405,1
"Participation-margin CATE","Age group","18-34",3352,74300253.621257,0.147450304669994,0.126439921604729,0.169005753409931,0.150425325779095,0.129194576551093,0.172249478941359,0.00105181413094943,0.0109002551187736,0.129060825746299,0.171789825811891,1
"Participation-margin CATE","Age group","35-49",3468,63359359.435732,0.152933696158456,0.13423772827569,0.172236308098369,0.15609682690977,0.137204150872577,0.175716775219587,0.000865548276341367,0.00992660592186274,0.136640679302919,0.175552974516621,1
"Participation-margin CATE","Age group","50-64",3760,62096233.089044,0.152558679853834,0.133127429109002,0.171639223239348,0.156921078987629,0.137408675167611,0.176495401172836,0.000885598187555571,0.0100083399104633,0.137304732763121,0.176537425212137,1
