"quantity","n_chains","n_draws","mean","rhat","ess","ess_per_draw","mcse","geweke_z"
"ATE (response scale)",4,1000,147.868017503216,1.00060351759228,4220.87390500988,1.05521847625247,0.467682010089387,1.72363943211135
"Weighted ATE (response scale)",4,1000,143.20074943172,1.0007335890565,4134.82049187417,1.03370512296854,0.429438620336339,1.96577090559554
"Hurdle ATE (probability)",4,1000,0.120347338871561,0.999995151705489,3925.87088435917,0.981467721089794,0.000137525952691178,1.64162288805195
