"Domain","N","Scalar_Estimate","Local_Estimate","Scalar_CI_low","Scalar_CI_high","Local_CI_low","Local_CI_high","Relative_change","Weighted_Scalar_Estimate","Weighted_Local_Estimate","Weighted_Relative_change"
"Overall | All",18763,188.024326417769,193.758949376812,156.946511698857,220.668541443,160.259524090665,227.559552042768,0.0304993671207312,184.665081986391,191.092083991601,0.0348035586158242
"Poverty cat. | Poor",2834,155.614055967658,158.236302545269,114.168766659065,198.170256743961,115.10781039865,202.152738570817,0.0168509622174264,153.065303866788,155.848863625628,0.0181854390807132
"Poverty cat. | Near-poor",877,168.886655884782,170.963246053399,103.536710111212,252.177104752702,104.126852066045,257.55055391601,0.0122957622539062,165.62935543565,167.581577235516,0.0117866895921401
"Poverty cat. | Low-income",2458,126.786637065242,130.768770083386,69.0878349799951,198.412593410619,72.2115540935259,205.375772848623,0.0314081445041721,124.002408635754,128.346223611967,0.0350300854959362
"Poverty cat. | Middle-income",5243,212.024536671182,218.085070600984,171.0702579107,255.499409961444,175.391584941563,262.886045833494,0.0285841158997642,203.084434540436,209.392482265451,0.0310612073214265
"Poverty cat. | High-income",7351,206.16112162698,213.885601541163,159.169843503316,250.689885250016,164.096244845111,260.061001468826,0.0374681698140897,198.617874474414,206.96178360389,0.0420098601475567
"Family income (weighted tertile) | Low-income tertile",7511,172.199463016248,175.826470791931,136.589559503272,212.715332677037,139.335375792763,217.238318283878,0.0210628286067358,168.991056160549,173.031804329525,0.0239110179010684
"Family income (weighted tertile) | Middle-income tertile",5922,207.890780658511,214.004174908446,173.709447208881,242.161083180847,178.595772675266,249.26599574721,0.0294067597926677,201.351104755574,207.717313277543,0.0316174501734057
"Family income (weighted tertile) | High-income tertile",5330,188.251607279898,196.535426122162,144.987849574901,230.874075762712,149.296754150473,242.358211310237,0.044003974053445,183.654883197218,192.529841708052,0.048324108547138
"Region | Northeast",2892,204.393524554753,210.865499768761,159.661666959825,249.48069486188,164.039066509729,257.116040610594,0.0316642869587305,196.757733695295,203.976596340048,0.0366890922617127
"Region | Midwest",3837,195.0448742349,202.458930486074,149.369826313709,247.820769443511,153.526999231337,259.093835522135,0.0380120537915012,187.863002888731,195.687751627247,0.041651355605927
"Region | South",7375,161.279707756584,165.87804358482,128.684470274063,196.398253017416,130.870597747056,203.878974419444,0.028511558535169,164.840823777263,170.476106989925,0.0341862111795592
"Region | West",4659,214.417114492409,220.10960594822,166.667049243314,265.172389490842,170.847634474772,270.776358423921,0.0265486804506616,205.958629178081,211.906716463602,0.0288800100741498
"Marital status | Married",7497,199.655246783058,206.470824866898,159.345428723214,239.487724126398,163.177153948465,248.004957317773,0.0341367341637964,197.321769262024,204.881852341996,0.0383134770595599
"Marital status | Not married",11266,180.284488855318,185.299786359843,147.939362620382,214.960906962196,151.602596261071,221.126828132322,0.0278187964830994,176.255165026171,181.92927509841,0.0321925889173027
"Marital status (detailed) | Married",7497,199.655246783058,206.470824866898,159.345428723214,239.487724126398,163.177153948465,248.004957317773,0.0341367341637964,197.321769262024,204.881852341996,0.0383134770595599
"Marital status (detailed) | Widowed",1261,244.46725000113,247.56250030741,134.250002049812,351.337264326076,136.592547105843,353.294520510833,0.0126612063835381,249.439931526177,252.606975813475,0.0126966210579051
"Marital status (detailed) | Divorced",1933,226.297583693042,230.699606858085,144.556658483674,294.359404033338,147.611614123308,297.80430734915,0.0194523648604823,226.080016925462,230.609843192269,0.0200363850304399
"Marital status (detailed) | Separated",342,143.669926133656,145.082212940792,82.4722784117416,228.37178044798,79.5088973226685,234.289124613296,0.00983007957992954,146.416729897121,147.957829874613,0.0105254363936009
"Marital status (detailed) | Never married",4579,191.741004994456,199.909355343926,155.077013307145,233.756980721425,160.153305373473,246.770680305498,0.0426009572115575,193.545891625769,202.61200130002,0.0468421705989002
"Marital status (detailed) | Under 16",3151,113.697697018918,115.666672561119,67.3409142525123,168.177365719967,67.9829409589323,172.641757158792,0.0173176378574649,113.120106968312,115.462631455196,0.0207082944815458
