"Domain","N","Scalar_Estimate","Local_Estimate","Scalar_CI_low","Scalar_CI_high","Local_CI_low","Local_CI_high","Relative_change","Weighted_Scalar_Estimate","Weighted_Local_Estimate","Weighted_Relative_change"
"Overall | All",18763,188.024326417769,193.758949376812,156.946511698857,220.668541443,160.259524090665,227.559552042768,0.0304993671207312,184.665081986391,191.092083991601,0.0348035586158242
"Sex | Male",8928,185.861259382866,191.37195707457,153.063265921922,220.984398051386,156.991322015347,227.754823344188,0.0296495230367084,182.563712460591,188.674584478206,0.0334725446544286
"Sex | Female",9835,189.987911825762,195.92580929287,149.586374801715,230.490838664583,153.551692393218,238.204106300685,0.0312540803783006,186.700333739531,193.433518975996,0.0360641306932963
"Race and ethnicity | Hispanic",4165,144.819622172777,148.153548195345,113.967430209675,178.041430359141,115.040924184224,184.031683756306,0.0230212313258955,146.56785324362,150.40202433124,0.0261597001168308
"Race and ethnicity | White, non-Hispanic",10243,218.156269920375,225.029892566795,176.613615685906,260.390275825704,181.961360401439,267.591816180843,0.0315077932388934,208.946160992925,216.569611617682,0.0364852390133925
"Race and ethnicity | Black, non-Hispanic",2495,138.36784295433,142.822155486962,84.4680805973165,192.743236870641,86.7639569683116,199.900738752297,0.0321918188325157,137.528463357825,142.355860084829,0.0351010736915141
"Race and ethnicity | Asian, non-Hispanic",1143,208.131964575103,215.66315366715,152.573289335724,275.422451689393,156.840812797318,287.637641114919,0.0361846826719869,203.766916170087,211.240702270033,0.0366781136036243
"Race and ethnicity | Other or multiple, non-Hispanic",717,149.273966181563,154.273621729877,64.2391911212625,223.356646754854,68.0916637096372,229.765160796939,0.0334931513927423,141.601591037147,146.990179350734,0.038054574628144
"Age group | 0-17",3647,127.037617608336,130.613083004106,83.8707550911689,176.921676023671,84.9204907562604,184.240501839245,0.0281449342571358,126.957964767331,130.943163375426,0.0313899062213081
"Age group | 18-34",3352,169.059535773273,176.811948821931,139.775439058831,201.822756377747,142.450919790171,214.462587865619,0.0458561122458898,174.178759097089,182.754839755251,0.0492372359443789
"Age group | 35-49",3468,175.268372730403,183.948395682471,147.148225643887,205.326615416442,150.47489317162,218.703823183085,0.0495241829250033,178.217869219145,187.463175837572,0.0518764288841229
"Age group | 50-64",3760,202.34621279049,208.841156382132,164.114689981121,239.585750036425,167.967791217432,247.032809959952,0.0320981722468254,207.681556304493,214.789291180141,0.0342241988269172
"Age group | 65+",4536,248.953748793144,252.05110598907,176.240696765116,315.744068889384,181.060123259536,315.550444839584,0.0124414965066451,250.260338573202,253.281885138018,0.0120736133501711
