"Scale","Covariate","Level","N","Weighted_N","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low","Population_CI_high","Population_design_SE","Population_total_SE","Population_CI_low_design","Population_CI_high_design","P_gt_0"
"Dollar-scale CATE","Overall","All",18763,331946662.488976,188.024326417769,156.946511698857,220.668541443,184.665081986391,154.886812478679,215.276787942792,1.36294731079446,15.3245775388684,154.628910010209,214.701253962573,1
"Dollar-scale CATE","Sex","Male",8928,163320493.03597,185.861259382866,153.063265921922,220.984398051386,182.563712460591,151.096725027988,216.14914274758,1.58518910855901,16.7422483323004,149.748905729282,215.3785191919,1
"Dollar-scale CATE","Sex","Female",9835,168626169.453006,189.987911825762,149.586374801715,230.490838664583,186.700333739531,147.732557210709,224.863923241047,1.33593372314632,19.5418591434897,148.398289818291,225.002377660771,1
"Dollar-scale CATE","Race and ethnicity","Hispanic",4165,65423507.11554,144.819622172777,113.967430209675,178.041430359141,146.56785324362,115.279121215617,179.499725010613,2.92617524837498,16.5764659821447,114.077979918616,179.057726568623,1
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic",10243,190318745.806817,218.156269920375,176.613615685906,260.390275825704,208.946160992925,171.023203999459,246.889829643672,1.30995016643462,19.4899465188981,170.745865815884,247.146456169965,1
"Dollar-scale CATE","Race and ethnicity","Black, non-Hispanic",2495,41490550.284948,138.36784295433,84.4680805973165,192.743236870641,137.528463357825,85.3350638114303,189.916340948905,1.74403913222882,26.8759595984991,84.8515825447671,190.205344170884,1
"Dollar-scale CATE","Race and ethnicity","Asian, non-Hispanic",1143,21264813.141554,208.131964575103,152.573289335724,275.422451689393,203.766916170087,149.657503384417,269.535388541427,4.11906409240439,30.6429411303613,143.706751554578,263.827080785595,1
"Dollar-scale CATE","Race and ethnicity","Other or multiple, non-Hispanic",717,13449046.140117,149.273966181563,64.2391911212625,223.356646754854,141.601591037147,61.2591729790571,211.828815204607,3.67456836789768,39.5118347771848,64.1583948738651,219.044787200429,0.99975
"Dollar-scale CATE","Age group","0-17",3647,72283273.015524,127.037617608336,83.8707550911689,176.921676023671,126.957964767331,84.5271372910085,176.164147982035,2.03442800609236,23.9425670680784,80.0305333138976,173.885396220765,1
"Dollar-scale CATE","Age group","18-34",3352,74300253.621257,169.059535773273,139.775439058831,201.822756377747,174.178759097089,143.946474729186,207.863445615038,1.69007376919198,16.6139592758516,141.61539891642,206.742119277758,1
"Dollar-scale CATE","Age group","35-49",3468,63359359.435732,175.268372730403,147.148225643887,205.326615416442,178.217869219145,149.464938804875,208.748791831359,1.36210909805028,15.219749815551,148.387159580665,208.048578857625,1
"Dollar-scale CATE","Age group","50-64",3760,62096233.089044,202.34621279049,164.114689981121,239.585750036425,207.681556304493,168.102528480743,245.531444526537,1.59574350968755,19.7420439290754,168.987150203505,246.37596240548,1
"Dollar-scale CATE","Age group","65+",4536,59907543.327419,248.953748793144,176.240696765116,315.744068889384,250.260338573202,177.393934939702,316.826119885126,1.40020684735641,35.0644373112707,181.534041443111,318.986635703292,1
"Dollar-scale CATE","Poverty cat.","Poor",2834,36304509.735843,155.614055967658,114.168766659065,198.170256743961,153.065303866788,112.996123089147,194.112246383192,2.53206046087692,20.3771642038609,113.12606202722,193.004545706355,1
"Dollar-scale CATE","Poverty cat.","Near-poor",877,12426677.974733,168.886655884782,103.536710111212,252.177104752702,165.62935543565,102.414369042703,247.243135988188,4.6294865787113,35.1975627170356,96.6421325102599,234.61657836104,1
"Dollar-scale CATE","Poverty cat.","Low-income",2458,40133250.639111,126.786637065242,69.0878349799951,198.412593410619,124.002408635754,68.5470915634797,193.639604896317,2.33488330249193,31.5534920321542,62.1575642527321,185.847253018777,1
"Dollar-scale CATE","Poverty cat.","Middle-income",5243,95527594.619779,212.024536671182,171.0702579107,255.499409961444,203.084434540436,165.094549183284,243.82616716951,1.9145578205976,19.9819464360944,163.919819525691,242.249049555181,1
"Dollar-scale CATE","Poverty cat.","High-income",7351,147554629.51951,206.16112162698,159.169843503316,250.689885250016,198.617874474414,155.613266958527,239.841260392563,1.30439374582115,21.3610090540201,156.750296728535,240.485452220294,1
