"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low_design","Population_CI_high_design"
"Participation-margin CATE","Sex","Male - Female",0.0148044687798158,-0.0130793634511968,0.0423674183520927,0.0154736432217613,-0.0124309739056662,0.0433782603491888
"Participation-margin CATE","Race and ethnicity","Hispanic - White, non-Hispanic",-0.0317242436365741,-0.0683547464220588,0.00501578216310719,-0.0317079731420009,-0.0681061369904199,0.00469019070641819
"Participation-margin CATE","Race and ethnicity","Hispanic - Black, non-Hispanic",0.0200253404321605,-0.0278940956581818,0.0677761989272284,0.0220638865902286,-0.0273310648165953,0.0714588379970525
"Participation-margin CATE","Race and ethnicity","Hispanic - Asian, non-Hispanic",-0.0208949470792707,-0.087580695126138,0.0435141496826547,-0.0235353815848895,-0.0880768802065077,0.0410061170367286
"Participation-margin CATE","Race and ethnicity","Hispanic - Other or multiple, non-Hispanic",0.0840468490760354,0.00991758182461765,0.161657131352594,0.0844439552120072,0.00847147573636131,0.160416434687653
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic - Black, non-Hispanic",0.0517495840687346,0.00970819067083922,0.0939142329067214,0.0537718597322295,0.0104734033645462,0.0970703160999127
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic - Asian, non-Hispanic",0.0108292965573034,-0.0475608811406715,0.0697925420886888,0.00817259155711135,-0.0509947093566395,0.0673398924708622
"Participation-margin CATE","Race and ethnicity","White, non-Hispanic - Other or multiple, non-Hispanic",0.115771092712609,0.0442687875742379,0.186252491007608,0.116151928354008,0.0449741221011166,0.1873297346069
"Participation-margin CATE","Race and ethnicity","Black, non-Hispanic - Asian, non-Hispanic",-0.0409202875114312,-0.108876332023244,0.0276379241192606,-0.0455992681751181,-0.113728762877324,0.0225302265270875
"Participation-margin CATE","Race and ethnicity","Black, non-Hispanic - Other or multiple, non-Hispanic",0.0640215086438749,-0.0153080905736991,0.143216653356078,0.0623800686217786,-0.0169418754358583,0.141702012679416
"Participation-margin CATE","Race and ethnicity","Asian, non-Hispanic - Other or multiple, non-Hispanic",0.104941796155306,0.0176808108625917,0.19344813540285,0.107979336796897,0.0189130114351608,0.197045662158633
"Participation-margin CATE","Age group","0-17 - 18-34",-0.111513916894529,-0.148005985168327,-0.0756069678112632,-0.115825477713783,-0.152304697282177,-0.0793462581453879
"Participation-margin CATE","Age group","0-17 - 35-49",-0.109254142787554,-0.143786079071949,-0.074393002942883,-0.111661768287081,-0.146462493744417,-0.0768610428297449
"Participation-margin CATE","Age group","0-17 - 50-64",-0.114603192179462,-0.14988535700326,-0.078968247999366,-0.116209420444078,-0.151629363226936,-0.0807894776612207
"Participation-margin CATE","Age group","0-17 - 65+",-0.118040743855733,-0.157999842186373,-0.076645986899439,-0.119035332678382,-0.160362159842965,-0.0777085055137999
"Participation-margin CATE","Age group","18-34 - 35-49",0.00225977410697569,-0.013978507126955,0.0184667891010147,0.0041637094267014,-0.0138458259113309,0.0221732447647337
"Participation-margin CATE","Age group","18-34 - 50-64",-0.00308927528493238,-0.0288882820172762,0.0233407056172375,-0.000383942730295764,-0.0277209252841139,0.0269530398235224
"Participation-margin CATE","Age group","18-34 - 65+",-0.00652682696120322,-0.0451088543914161,0.0335147679126364,-0.00320985496459971,-0.0433582918947974,0.036938581965598
"Participation-margin CATE","Age group","35-49 - 50-64",-0.00534904939190807,-0.0195262274128461,0.00948101787018969,-0.00454765215699716,-0.0191028921640364,0.0100075878500421
"Participation-margin CATE","Age group","35-49 - 65+",-0.00878660106817891,-0.0384685952982453,0.0227027198678604,-0.00737356439130111,-0.0381899722755126,0.0234428434929104
"Participation-margin CATE","Age group","50-64 - 65+",-0.00343755167627084,-0.021932816385532,0.0156175250316962,-0.00282591223430395,-0.0219375906706979,0.01628576620209
"Participation-margin CATE","Poverty cat.","Poor - Near-poor",0.0164357775725112,-0.0988179891999871,0.130084369319024,0.0180508545673738,-0.0963865647861065,0.132488273920854
"Participation-margin CATE","Poverty cat.","Poor - Low-income",0.0610196980666214,-0.0126306047085205,0.137659844850347,0.059901361704393,-0.014868545239834,0.13467126864862
"Participation-margin CATE","Poverty cat.","Poor - Middle-income",-0.0252957884243411,-0.0894438382972634,0.0401719152733203,-0.0245293048269478,-0.0895524972610481,0.0404938876071525
