"Scale","Covariate","Contrast","Sample_estimate","Sample_CI_low","Sample_CI_high","Population_estimate","Population_CI_low_design","Population_CI_high_design"
"Dollar-scale CATE","Sex","Male - Female",33.6643151059599,-58.2962620304486,124.349958789524,38.9588090727312,-49.0672237311016,126.984841876564
"Dollar-scale CATE","Race and ethnicity","Hispanic - White, non-Hispanic",-0.325010202565704,-103.821072784143,106.014572425875,-4.90049368513202,-107.445582069636,97.6445946993723
"Dollar-scale CATE","Race and ethnicity","Hispanic - Black, non-Hispanic",-18.5070663798286,-153.460543808006,109.819128235998,-5.83190510933504,-139.623213012329,127.959402793659
"Dollar-scale CATE","Race and ethnicity","Hispanic - Asian, non-Hispanic",-68.6047968418469,-264.868906906792,129.360608666959,-72.036180918926,-267.555633186108,123.483271348256
"Dollar-scale CATE","Race and ethnicity","Hispanic - Other or multiple, non-Hispanic",90.7943386927377,-101.077556584719,295.126376455609,83.1416724104739,-111.381118831204,277.664463652152
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic - Black, non-Hispanic",-18.1820561772629,-153.147659603041,115.881659378569,-0.931411424203027,-133.224011472196,131.36118862379
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic - Asian, non-Hispanic",-68.2797866392812,-256.787090401225,122.731561263275,-67.135687233794,-253.551770362065,119.280395894477
"Dollar-scale CATE","Race and ethnicity","White, non-Hispanic - Other or multiple, non-Hispanic",91.1193488953034,-96.8640328880455,294.604607442274,88.042166095606,-101.929354529684,278.013686720896
"Dollar-scale CATE","Race and ethnicity","Black, non-Hispanic - Asian, non-Hispanic",-50.0977304620183,-257.903388813404,175.764139030953,-66.204275809591,-276.362426607578,143.953874988396
"Dollar-scale CATE","Race and ethnicity","Black, non-Hispanic - Other or multiple, non-Hispanic",109.301405072566,-110.228247939455,339.525095886542,88.973577519809,-124.273653693141,302.220808732759
"Dollar-scale CATE","Race and ethnicity","Asian, non-Hispanic - Other or multiple, non-Hispanic",159.399135534585,-93.094690373935,423.338678818191,155.1778533294,-97.4087937587217,407.764500417522
"Dollar-scale CATE","Age group","0-17 - 18-34",-41.7375199433022,-131.734650704424,43.0571596778299,-47.5350499244937,-139.839137996051,44.7690381470633
"Dollar-scale CATE","Age group","0-17 - 35-49",-13.338042428933,-94.8271469041544,70.5146558578226,-11.1384009249527,-98.9179591407764,76.6411572908711
"Dollar-scale CATE","Age group","0-17 - 50-64",-11.9012225296018,-103.269237778128,82.9305134009458,-4.61466592284834,-101.538146432708,92.3088145870114
