"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",1,1.31425869722037,0.0718249053094481,NA,NA,NA,NA,NA,NA,1.47645928278305,0.00454031186448963,0.97,0.729572256415457,4.90911441139077,1.30971838535588,NA,NA,NA,NA,NA,NA,0.0627672752911443,0.0276111659055426,0.962,0.109701697806698,0.290231533306471,0.0442137394039055
"DGP B (nonlinear): Gamma Hurdle",2,1.24928256800244,0.073057276340949,NA,NA,NA,NA,NA,NA,1.68100129125548,0.546025784570579,0.93,0.641461332754727,3.12809455036019,0.703256783431865,NA,NA,NA,NA,NA,NA,0.0612666469165002,0.0299294798028986,0.98,0.237403423848421,0.23867359110596,0.0431277965380504
"DGP B (nonlinear): Gamma Hurdle",3,1.08672465620507,0.0718448293975101,NA,NA,NA,NA,NA,NA,0.945395230040768,0.187089167352886,0.972,0.753735951379101,3.8412322123426,0.899635488852187,NA,NA,NA,NA,NA,NA,0.084105932462742,0.0597171216055383,0.878,0.00195459282067446,0.227613318758404,0.0121277077919718
"DGP B (nonlinear): Gamma Hurdle",4,1.2184435337695,0.0697435707642148,NA,NA,NA,NA,NA,NA,1.57934774675839,0.420724971387341,0.918,0.516292007883676,4.82964137455305,1.63916850515684,NA,NA,NA,NA,NA,NA,0.0759953681647137,0.0496948583874844,0.968,0.221827963004074,0.336882280860233,0.119438429151699
"DGP B (nonlinear): Gamma Hurdle",5,1.23067364672599,0.0715551632018136,NA,NA,NA,NA,NA,NA,1.58122004301783,0.526571339024353,0.93,0.694234234670629,3.97355837332523,0.704102307701634,NA,NA,NA,NA,NA,NA,0.0903741461672597,0.069636664010657,0.82,-0.132162816219224,0.216887995537961,0.00191849919115659
"DGP B (nonlinear): Gamma Hurdle",6,1.17191445326351,0.0710648494699032,NA,NA,NA,NA,NA,NA,1.39754545269231,0.188873293200522,0.898,0.571643040334826,3.59758843869454,1.36078774646404,NA,NA,NA,NA,NA,NA,0.0582297348643424,0.0264578241049531,0.966,0.244480717634944,0.259173458757418,0.0975226735748563
"DGP B (nonlinear): Gamma Hurdle",7,1.18415459913956,0.0661409370524688,NA,NA,NA,NA,NA,NA,1.56682237898392,0.0831161626310019,0.96,0.789138435261127,4.03962018349574,1.10103843650856,NA,NA,NA,NA,NA,NA,0.0664042441030583,0.0420380402389421,0.968,0.0865184419154739,0.277429525493681,0.0241028968135267
"DGP B (nonlinear): Gamma Hurdle",8,1.20329125006557,0.068922963649783,NA,NA,NA,NA,NA,NA,1.4573303836337,0.113351894199518,0.97,0.657934076046736,3.89574218932417,1.08993935586605,NA,NA,NA,NA,NA,NA,0.0629986878989565,0.0307337613087543,0.944,0.0916406220153197,0.250326904554285,0.0381892023410287
"DGP B (nonlinear): Gamma Hurdle",9,1.13459725539491,0.0654603968839991,NA,NA,NA,NA,NA,NA,1.01893129564606,0.188817126913658,0.928,0.850967544106439,4.36801821982332,1.32341438230856,NA,NA,NA,NA,NA,NA,0.0618343802164793,0.0249408054006337,0.968,0.0354644253409817,0.280826487247385,0.0904012022846327
"DGP B (nonlinear): Gamma Hurdle",10,1.17649413280721,0.0705089386418431,NA,NA,NA,NA,NA,NA,1.37556763902181,0.088639575974641,0.968,0.572461037825526,3.96295263655958,1.26513370878185,NA,NA,NA,NA,NA,NA,0.0562032497687538,0.0113944102769527,0.984,0.202719800105379,0.252068475472777,0.0591145283648904
