"DGP","Model","Seeds","CATE_RMSE","CATE_Correlation","CATE_Coverage","CATE_CI_Length","ATE_RMSE","ATE_AbsErr_mean"
"DGP A (nonlinear): Log-Normal Hurdle","Gamma Hurdle",3,4.92424744866428,-0.388305146738254,0.666,6.75042051980096,0.392553337207419,0.365266573350868
"DGP A (nonlinear): Log-Normal Hurdle","ZIC-BCF-Smear",3,1.6615427780914,0.688310168319059,0.864666666666667,3.92393948445282,0.618389957554605,0.501736561999616
"DGP B (nonlinear): Gamma Hurdle","Gamma Hurdle",3,4.31835579346615,-0.19195593245013,0.69,6.65918034886458,0.516816212813115,0.390653308852334
"DGP B (nonlinear): Gamma Hurdle","ZIC-BCF-Smear",3,1.81712721699605,0.650680544031593,0.852666666666667,4.55109766145013,0.891644388095715,0.845479514928939
"DGP C (nonlinear): Tweedie Semicontinuous","Gamma Hurdle",3,0.310862855773461,-0.104994437497653,0.899333333333333,0.934146235669746,0.133077570317089,0.101395967231106
"DGP C (nonlinear): Tweedie Semicontinuous","ZIC-BCF-Smear",3,0.172334743351646,0.163233073318886,0.943333333333333,0.639125247375013,0.0843037678402706,0.0799909904706257
