"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",52,"OK",1.5423168862759,0.0597676149430062,3.13553888627413,1.61810130313678,1,-0.101294174898676,120.981869943594,3.16041818941268,0.253000931306701,0.205682385056994,0.99,0.00420091955589898,1.83075,0.26545
"DGP B (nonlinear): Gamma Hurdle",53,"OK",1.3593124876352,0.0582667930446233,3.00282110542049,2.18873669080142,1,0.171258652273439,107.913377971754,-0.829424203166226,0.0568823080893419,0.0255667930446233,1,0.23272575202742,2,0.0327
"DGP B (nonlinear): Gamma Hurdle",54,"OK",1.10779357999151,0.0591338565235514,2.58104673821699,0.157342044783455,1,-0.180132696536891,175.55787537593,0.950451535208054,0.178248196970306,0.0852661434764486,0.87,0.0216259387053884,1.45075,0.1444
"DGP B (nonlinear): Gamma Hurdle",55,"OK",1.3787732729586,0.051705100218712,5.28300305225457,2.34876083352802,1,-0.289674896006639,172.899800760832,-0.969987560569416,0.0588590895847082,0.010775100218712,1,0.350956414650285,2,0.04093
"DGP B (nonlinear): Gamma Hurdle",56,"OK",1.02039553306853,0.0528334082640105,1.77582629659192,0.304160041543193,1,0.287735979304915,131.088677827163,0.716235491525341,0.0644131579669147,0.0161265917359895,1,0.166273996842766,2,0.06896
"DGP B (nonlinear): Gamma Hurdle",57,"OK",1.46834258573278,0.0629223581280716,2.9551104449835,0.789180777608548,1,-0.00298795527165227,135.422223406589,2.25752336334133,0.0903637200305747,0.0712123581280717,1,0.0807213352269972,2,-0.00829
"DGP B (nonlinear): Gamma Hurdle",58,"OK",1.41459039112033,0.0595863492658952,12.1549785333871,3.82988934006089,1,0.578750231316828,243.664410027248,5.24447973118122,0.0587539445706887,0.00624634926589519,1,0.0936350154554664,2,0.05334
"DGP B (nonlinear): Gamma Hurdle",59,"OK",1.39117692416071,0.0590663264133045,3.57827609854958,1.67068183630869,1,0.256568938392613,200.254302184253,-0.279504912147982,0.0718493744419431,0.00808367358669549,0.99,0.115269746502627,1.93025,0.06715
"DGP B (nonlinear): Gamma Hurdle",60,"OK",1.60449343742371,0.0607919857662329,3.51092544326148,1.74213438013168,1,0.215107929608658,154.787060840517,3.34662781755539,0.114021650259806,0.0995480142337671,1,0.421432494026705,2,0.16034
"DGP B (nonlinear): Gamma Hurdle",61,"OK",1.25407251620468,0.0540528764878834,3.92307921112451,2.69637619257669,1,0.338771324513691,145.139138496608,3.95044870878137,0.172030152978467,0.139897123512117,1,-0.0403475785707999,2,0.19395
"DGP B (nonlinear): Gamma Hurdle",62,"OK",1.27845109741672,0.0562366658842547,3.81514228837891,0.384722420890326,0.96,0.68749227511787,314.489430951852,1.66317351830704,0.0943676761164731,0.0116633341157453,0.89,0.139604143747974,1.671,0.0679
"DGP B (nonlinear): Gamma Hurdle",63,"OK",1.11284496282044,0.0633678593762409,2.4672620299828,1.41197832079243,1,0.194442598600292,123.131854721041,2.52482328361286,0.116812616703812,0.104567859376241,1,-0.0858526435129147,2,-0.0412
"DGP B (nonlinear): Gamma Hurdle",64,"OK",1.24926988420834,0.0609767446878823,1.52461738725063,0.659653900387777,1,0.0336415429850134,88.2723938492533,0.589615983820568,0.0480437841394814,0.00149674468788227,1,0.228219526116329,1.99,0.05948
"DGP B (nonlinear): Gamma Hurdle",65,"OK",1.29253900266892,0.064561584153722,1.73917663461326,0.115522890767315,1,0.31799121058473,137.074433183311,1.1770161119016,0.121698420802395,0.104998415846278,1,0.397309177684811,2,0.16956
"DGP B (nonlinear): Gamma Hurdle",66,"OK",1.36297142017752,0.0599952805657484,2.59150760447524,0.608209426341983,1,0.0274129460017321,193.047228348245,1.9711808465195,0.0991701018679857,0.0450947194342516,0.94,0.10645800330525,1.77,0.10509
"DGP B (nonlinear): Gamma Hurdle",67,"OK",1.40644458759191,0.0561320559797835,2.62578523638145,0.151349628637927,1,0.111794462483897,166.184334875477,1.25509495895399,0.0547357584802878,0.0214620559797835,0.97,0.110923005689711,1.94025,0.03467
"DGP B (nonlinear): Gamma Hurdle",68,"OK",1.13104213594089,0.0601274617107518,2.48762851029092,0.39203778824987,1,0.0996503227877896,225.531721769496,1.52307992419076,0.12738358865818,0.0977725382892482,1,0.191788015195522,1.97,0.1579
"DGP B (nonlinear): Gamma Hurdle",69,"OK",1.2049118372888,0.0582080529015546,4.0636651568216,1.85732011370886,1,-0.0750331978655457,254.86317180116,-0.652408276420057,0.116034711338719,0.0711719470984454,0.98,0.195714848754537,1.93025,0.12938
"DGP B (nonlinear): Gamma Hurdle",70,"OK",1.30532095345035,0.0486256426229073,3.35710305733538,1.91845081374433,1,0.220563289087196,141.135864541739,3.22377176719468,0.115438771584513,0.101114357377093,1,0.193399630507467,2,0.14974
"DGP B (nonlinear): Gamma Hurdle",71,"OK",1.54023258310654,0.0538637970739639,3.73716409273403,2.65520606981959,1,0.0994573646029121,173.788360537925,-1.11497348671305,0.0841549061384195,0.0379062029260361,0.9,0.300533060796997,1.66,0.09177
"DGP B (nonlinear): Gamma Hurdle",72,"OK",1.27887367038434,0.0509231905592809,2.75816940885568,2.10897990503716,1,0.275467514314996,104.362078509334,3.3878535754215,0.0536702678636066,0.0146431905592809,1,0.276711019702445,2,0.03628
"DGP B (nonlinear): Gamma Hurdle",73,"OK",1.56098718275245,0.0651346598994425,3.21219551639391,1.09123157590759,1,0.154678515062174,115.9862982105,2.65221875866003,0.101388803047679,0.0799853401005575,1,0.285896664964983,2,0.14512
"DGP B (nonlinear): Gamma Hurdle",74,"OK",1.22849084517155,0.0559128230171095,3.12190167207154,2.59713951604315,1,0.218999266528376,121.595572479097,3.8256303612147,0.124863480587197,0.101447176982891,1,0.244885330852097,2,0.15736
"DGP B (nonlinear): Gamma Hurdle",75,"OK",1.36267601304547,0.0604506785506661,2.83113043811578,1.63420461588333,1,0.299958387333381,118.213864718927,2.9968806289288,0.0595929929632445,0.0170893214493339,1,0.225298241002091,2,0.07754
"DGP B (nonlinear): Gamma Hurdle",76,"OK",1.49361384536494,0.0625567593736267,6.47079147612257,0.294122008573847,1,0.649143968822908,168.364111468682,1.19949183679109,0.123730531873232,0.109966759373627,0.98,-0.0235056041617927,1.98,-0.04741
"DGP B (nonlinear): Gamma Hurdle",77,"OK",1.15084815530868,0.0590916683210593,2.02026414565716,1.1517264978395,1,0.310344380545625,119.916798144464,2.30257465314817,0.137796856555149,0.117288331678941,1,0.329762366159555,1.99,0.17638
"DGP B (nonlinear): Gamma Hurdle",78,"OK",1.82207683760677,0.0604155232668067,4.64195639080226,0.563281875330658,1,0.0293879653599343,173.088964627712,1.25879496227611,0.0826697358351214,0.0518644767331933,0.99,0.195083415044346,1.9805,0.11228
