"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias","CATE_RMSE_Median","ATE_AbsErr_Median","N_Seeds","N_Diverged","Diverge_Rate"
"DGP A: Log-Normal Hurdle",500,1,0.85,"BCF-Linear",5.31054906075337,0.661258727928102,0.85516,0.379444695148949,3.9588763323099,0.883967869056195,0.301055050804848,4.06785044810292,0.502199743771424,100,0,0
"DGP A: Log-Normal Hurdle",500,2,0.62,"BCF-Linear",5.99014964890087,0.715407486358832,0.87796,0.36143943126296,6.24357964272094,0.968689220326482,0.206113338432697,4.34054264352434,0.52648588085299,100,0,0
"DGP A: Log-Normal Hurdle",500,3,0.4,"BCF-Linear",5.81215843694941,0.843864713538256,0.8807,0.346670057924931,6.38471760248761,1.1271888835634,0.172072706598243,3.36980900946897,0.739990024257599,100,0,0
"DGP A: Log-Normal Hurdle",500,4,0.18,"BCF-Linear",5.56541040728322,0.765114045857921,0.87562,0.278313505908768,6.07653348387634,1.08342405740198,0.174463661382911,2.76914961575939,0.576140752078565,100,0,0
"DGP A: Log-Normal Hurdle",500,5,0.07,"BCF-Linear",5.09610545642873,0.73192080421407,0.87318,0.265612901623265,5.32719309983792,0.997061133466706,0.176267589606435,2.20546649472098,0.532920678702185,100,0,0
"DGP A: Log-Normal Hurdle",500,1,0.85,"DPglm",2.08538835685259,0.47372882417685,0.97846,0.266109142186976,62.7949353730928,0.606044873087221,0.0660997251380148,1.84714272279097,0.430707421820685,100,0,0
"DGP A: Log-Normal Hurdle",500,2,0.62,"DPglm",2.5836172700806,0.546025498069858,0.99494,0.282990917146534,62.122291531737,0.711462134090229,0.0520877986077302,2.08347141162605,0.42584959220215,100,0,0
"DGP A: Log-Normal Hurdle",500,3,0.4,"DPglm",3.07048839182655,0.518756373837962,0.99654,0.198369100799596,61.5323436102184,0.680462076656703,0.021367474364316,2.37979921790902,0.381729644050745,100,0,0
"DGP A: Log-Normal Hurdle",500,4,0.18,"DPglm",2.58598744117115,0.455708059762796,0.99766,0.21987549307724,59.5752479371367,0.556422901155675,0.0618271787494647,2.24583736185482,0.45014231589041,100,0,0
"DGP A: Log-Normal Hurdle",500,5,0.07,"DPglm",2.60946058458991,0.473735498740895,0.9986,0.141385331423179,55.3902696505826,0.604597819531069,0.101857213966568,2.22098357982882,0.399662154949435,100,0,0
