"DGP","Seed","Model","Status","True_ATE","True_Hurdle_ATE","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","Est_ATE","ATE_AbsErr","Hurdle_RMSE","Hurdle_Coverage","Hurdle_Correlation","Hurdle_CI_Length","Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",1,"ZIC-BCF-Smear","OK",1.73338437832028,0.0624191325525533,1.81101562841878,0.559096746933566,0.88,0.766011323264155,3.67552142834995,1.17428763138671,0.559096746933566,0.0633642257266915,0.964,0.228323996718378,0.216636959219797,0.0199750378711573
"DGP A (nonlinear): Log-Normal Hurdle",1,"Gamma Hurdle","OK",1.73338437832028,0.0624191325525533,6.76958968834902,0.27902982672284,0.536,-0.514258665287546,7.93389220520487,1.45435455159744,0.27902982672284,0.0696668681009075,1,0.276791921796142,0.397180720301915,0.0518902149476028
"DGP A (nonlinear): Log-Normal Hurdle",2,"ZIC-BCF-Smear","OK",1.64723122181896,0.0623430499301357,1.72081595710852,0.912979417131474,0.764,0.850516005027308,3.10100964037969,0.734251804687484,0.912979417131474,0.0786235610790277,0.894,0.187514099844828,0.20014367631516,0.00091992557425771
"DGP A (nonlinear): Log-Normal Hurdle",2,"Gamma Hurdle","OK",1.64723122181896,0.0623430499301357,3.88671648791568,0.567884467247404,0.758,-0.233119700669209,6.60346830491225,1.07934675457155,0.567884467247404,0.118464910947472,0.888,0.141777104810494,0.386838303368389,0.00986447390173732
"DGP A (nonlinear): Log-Normal Hurdle",3,"ZIC-BCF-Smear","OK",1.44405080599355,0.0601662307259155,1.4527967487469,0.0331335219338084,0.95,0.448403176665712,4.99528738462883,1.47718432792736,0.0331335219338083,0.0553792819309555,0.96,0.0438987130522614,0.232149527678549,0.0544146301335817
"DGP A (nonlinear): Log-Normal Hurdle",3,"Gamma Hurdle","OK",1.44405080599355,0.0601662307259155,4.11643616972813,0.24888542608236,0.704,-0.417537074258008,5.71390104928577,1.19516537991119,0.248885426082361,0.110076225634015,0.95,0.0697526126562859,0.386896920618129,0.0644533910068763
"DGP B (nonlinear): Gamma Hurdle",1,"ZIC-BCF-Smear","OK",1.52970634485617,0.0624191325525533,1.84176457952897,0.548265289069073,0.966,0.71558049936186,5.81713618940939,2.07797163392524,0.548265289069073,0.0611049088050898,0.974,0.236097858339847,0.234261024360037,0.0232760078940138
"DGP B (nonlinear): Gamma Hurdle",1,"Gamma Hurdle","OK",1.52970634485617,0.0624191325525533,5.93097003045281,0.313590099501337,0.652,-0.474109493483042,7.89204628461129,1.21611624535483,0.313590099501337,0.0674234634273954,1,0.282642196981388,0.399115663555955,0.0518775912747193
"DGP B (nonlinear): Gamma Hurdle",2,"ZIC-BCF-Smear","OK",1.45367645109587,0.0623430499301357,2.1028966764291,1.22654938820352,0.664,0.542631740625196,3.02628711266303,0.227127062892352,1.22654938820352,0.079248740170723,0.902,0.165441686121786,0.210947363534754,0.000196378459064258
"DGP B (nonlinear): Gamma Hurdle",2,"Gamma Hurdle","OK",1.45367645109587,0.0623430499301357,4.06466117356424,0.0201868310296211,0.694,-0.222139757332325,6.83655162828709,1.47386328212549,0.0201868310296212,0.119718904803357,0.88,0.139107769819276,0.381416441615502,0.0113268193220404
"DGP B (nonlinear): Gamma Hurdle",3,"ZIC-BCF-Smear","OK",1.2743703634641,0.0601662307259155,1.50672039503009,0.761623867514228,0.928,0.693829392107722,4.80986968227798,2.03599423097832,0.761623867514228,0.0552984309312071,0.95,0.0443063941618435,0.233375675865428,0.0578322953299644
"DGP B (nonlinear): Gamma Hurdle",3,"Gamma Hurdle","OK",1.2743703634641,0.0601662307259155,2.95943617638141,0.838182996026044,0.724,0.120381453464977,5.24894313369535,2.11255335949014,0.838182996026044,0.108103116637451,0.948,0.0728287112704009,0.389459386639197,0.0637624442135673
"DGP C (nonlinear): Tweedie Semicontinuous",1,"ZIC-BCF-Smear","OK",0.167006545911239,0.0508299811973203,0.179837867576842,0.105058779052726,0.906,0.111011507757857,0.541487835943675,0.0619477668585136,0.105058779052726,0.0591665519471274,0.998,-0.50427973896447,0.24008409793395,-0.000585811501925543
"DGP C (nonlinear): Tweedie Semicontinuous",1,"Gamma Hurdle","OK",0.167006545911239,0.0508299811973203,0.222513773375523,0.0732231596880878,0.95,-0.0527545590522358,0.768394892212224,0.0937833862231513,0.0732231596880878,0.124888859689982,0.898,-0.0483893148891106,0.411349867896634,-0.03462833855217
"DGP C (nonlinear): Tweedie Semicontinuous",2,"ZIC-BCF-Smear","OK",0.190575246384559,0.0520047268301583,0.186686385844734,0.0431352016173892,0.992,0.213252071310065,0.859331503713929,0.233710448001949,0.0431352016173892,0.0481360356581626,1,-0.291331167749027,0.355671576836117,0.0645803542591705
"DGP C (nonlinear): Tweedie Semicontinuous",2,"Gamma Hurdle","OK",0.190575246384559,0.0520047268301583,0.270378849756528,0.0127815140806287,0.974,-0.225524799168139,1.06571408627519,0.203356760465188,0.0127815140806287,0.178168072410374,0.738,-0.249532474478538,0.405114283286315,0.0443435302796983
"DGP C (nonlinear): Tweedie Semicontinuous",3,"ZIC-BCF-Smear","OK",0.170062659541429,0.0510379568346779,0.150479976633362,0.0917789907417623,0.932,0.165435640888737,0.516556402467435,0.0782836687996666,0.0917789907417623,0.0320637515563995,1,-0.342595491749452,0.259080006201594,0.0374112730341706
"DGP C (nonlinear): Tweedie Semicontinuous",3,"Gamma Hurdle","OK",0.170062659541429,0.0510379568346779,0.43969594418833,0.218183227924602,0.774,-0.0367039542725832,0.968329728521822,-0.0481205683831728,0.218183227924602,0.112579335829653,0.95,-0.174028337467322,0.396829617860796,0.0212959698762565
