"DGP","Seed","True_ATE","True_Hurdle_ATE","Linear_CATE_RMSE","Linear_CATE_Abs_Bias","Linear_CATE_Coverage","Linear_CATE_Correlation","Linear_CATE_CI_Length","Linear_Est_ATE","Smear_CATE_RMSE","Smear_CATE_Abs_Bias","Smear_CATE_Coverage","Smear_CATE_Correlation","Smear_CATE_CI_Length","Smear_Est_ATE","Linear_Hurdle_RMSE","Linear_Hurdle_Abs_Bias","Linear_Hurdle_Coverage","Linear_Hurdle_Correlation","Linear_Hurdle_CI_Length","Linear_Est_Hurdle_ATE","Smear_Hurdle_RMSE","Smear_Hurdle_Abs_Bias","Smear_Hurdle_Coverage","Smear_Hurdle_Correlation","Smear_Hurdle_CI_Length","Smear_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,0.179774340934483,0.0517373543818313,NA,NA,NA,NA,NA,NA,0.198147623030514,0.0282898268779429,0.984,0.156317625765906,0.890253009533829,0.15148451405654,NA,NA,NA,NA,NA,NA,0.0505544096044182,0.0465166734314113,1,0.451576859499129,0.312067277594031,0.00522068095042005
"DGP C (nonlinear): Tweedie Semicontinuous",2,0.190058327717779,0.053554214632161,NA,NA,NA,NA,NA,NA,0.279827402408431,0.167916620870711,0.868,-0.0250020075320921,0.979514407564581,0.0221417068470678,NA,NA,NA,NA,NA,NA,0.0474159107668043,0.0356349791093123,1,-0.525930212203712,0.337650626122182,0.0179192355228487
"DGP C (nonlinear): Tweedie Semicontinuous",3,0.19386277034822,0.0506217469413154,NA,NA,NA,NA,NA,NA,0.525017563899552,0.285193004782402,0.868,-0.196401791743944,0.868093172320725,-0.0913302344341819,NA,NA,NA,NA,NA,NA,0.0869334741353152,0.0809145936818055,1,0.159380560278259,0.366392320628639,0.131536340623121
"DGP C (nonlinear): Tweedie Semicontinuous",4,0.167214574419584,0.0504742685817854,NA,NA,NA,NA,NA,NA,0.164307436324676,0.0396352119985595,0.988,0.0722344187089687,0.825115679767209,0.127579362421025,NA,NA,NA,NA,NA,NA,0.0269952408962129,0.00116214717340811,1,-0.391793141229674,0.325138020348208,0.0516364157551935
"DGP C (nonlinear): Tweedie Semicontinuous",5,0.168107596135877,0.0509384806424474,NA,NA,NA,NA,NA,NA,0.206059613053647,0.147986273889486,0.92,0.0434121417098904,0.540149195828582,0.0201213222463907,NA,NA,NA,NA,NA,NA,0.0724023626698902,0.0625017119542014,1,-0.523851478587743,0.357038949859176,-0.011563231311754
"DGP C (nonlinear): Tweedie Semicontinuous",6,0.171634674237786,0.052212650702827,NA,NA,NA,NA,NA,NA,0.204522653203888,0.140498187023713,0.932,0.101613381261071,0.641389152531391,0.0311364872140724,NA,NA,NA,NA,NA,NA,0.0298526152023279,0.00795585095629516,1,-0.316713627486132,0.337082903170539,0.0442567997465318
"DGP C (nonlinear): Tweedie Semicontinuous",7,0.18636811387013,0.0532693465161535,NA,NA,NA,NA,NA,NA,0.140777682248599,0.0317781057087953,0.992,0.186248840615553,0.866665077784024,0.218146219578926,NA,NA,NA,NA,NA,NA,0.0478648041578059,0.0411192545548057,1,-0.142297425124602,0.30338200676297,0.0121500919613479
"DGP C (nonlinear): Tweedie Semicontinuous",8,0.171663677339342,0.0487506793299295,NA,NA,NA,NA,NA,NA,0.238999613236549,0.183814561372739,0.916,-0.0473138211363615,0.957109947848097,-0.0121508840333966,NA,NA,NA,NA,NA,NA,0.0802168438742248,0.0748775492580172,0.964,-0.517644582508354,0.306497997135914,-0.0261268699280877
"DGP C (nonlinear): Tweedie Semicontinuous",9,0.176790865604907,0.0504091881365901,NA,NA,NA,NA,NA,NA,0.186337187891438,0.093444325761245,1,0.233996295059241,0.923304624194506,0.270235191366152,NA,NA,NA,NA,NA,NA,0.109773575857527,0.107342697115832,1,0.385828991449137,0.391286099059587,0.157751885252422
"DGP C (nonlinear): Tweedie Semicontinuous",10,0.178516758379617,0.054809738031281,NA,NA,NA,NA,NA,NA,0.200521637504455,0.0326039381600575,0.984,0.143887364634717,1.17938970834094,0.211120696539674,NA,NA,NA,NA,NA,NA,0.0821468238522502,0.0515336194541592,1,-0.284049095361711,0.483036006010208,0.10634335748544
