"DGP","N","ZI_Level","Zero_Proportion","Model","Hurdle_RMSE","Hurdle_Abs_Bias","Hurdle_Coverage","Hurdle_CI_Length"
"DGP B: Gamma Hurdle",500,3,0.4,"ZIC-BCF-Smear",0.0663176792665235,0.0318283125547835,0.94452,0.278143877460539
"DGP B: Gamma Hurdle",500,4,0.18,"ZIC-BCF-Smear",0.0505377937496897,0.0228165642273366,0.94726,0.209597610740386
"DGP B: Gamma Hurdle",500,5,0.05,"ZIC-BCF-Smear",0.0348311240238541,0.0122053749964354,0.93164,0.128677419930133
"DGP C: Tweedie Semicontinuous",500,1,0.85,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,2,0.6,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.4,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,4,0.11,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,5,0.03,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,1,0.85,"DPglm",0.0509325782708218,0.0368474245914067,0.98252,1.969169
"DGP C: Tweedie Semicontinuous",500,2,0.6,"DPglm",0.0572695100335519,0.0446206174696546,0.9981,1.996466
"DGP C: Tweedie Semicontinuous",500,3,0.4,"DPglm",0.0568131727857392,0.0433179709190008,0.99804,1.9961675
"DGP C: Tweedie Semicontinuous",500,4,0.11,"DPglm",0.0430439275691282,0.0242656828155039,0.90198,1.6510865
"DGP C: Tweedie Semicontinuous",500,5,0.03,"DPglm",0.0276761722733601,0.0113228402578058,0.38852,0.5611645
"DGP C: Tweedie Semicontinuous",500,1,0.85,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,2,0.6,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,4,0.11,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,5,0.03,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,1,0.85,"Gamma Hurdle",0.0828347715715379,0.0263339245640073,0.93646,0.323744436863886
"DGP C: Tweedie Semicontinuous",500,2,0.6,"Gamma Hurdle",0.109601784358925,0.0390690864223932,0.92996,0.401469672412074
"DGP C: Tweedie Semicontinuous",500,3,0.4,"Gamma Hurdle",0.11135417389719,0.042811669794038,0.92436,0.39844336839907
"DGP C: Tweedie Semicontinuous",500,4,0.11,"Gamma Hurdle",0.0903908507009866,0.0293823153521654,0.9023,0.294547253749836
"DGP C: Tweedie Semicontinuous",500,5,0.03,"Gamma Hurdle",0.0732586459958203,0.0189757066532065,0.93408,0.265848648423279
"DGP C: Tweedie Semicontinuous",500,1,0.85,"ZIC-BCF-Smear",0.0281127803223893,0.021843876303096,0.98524,0.188786764393368
"DGP C: Tweedie Semicontinuous",500,2,0.6,"ZIC-BCF-Smear",0.0439424611138775,0.0331927123786159,0.9733,0.252827102571042
"DGP C: Tweedie Semicontinuous",500,3,0.4,"ZIC-BCF-Smear",0.0443262937166703,0.0337085868974752,0.98356,0.253813606899982
"DGP C: Tweedie Semicontinuous",500,4,0.11,"ZIC-BCF-Smear",0.0309879540682867,0.0201937910570371,0.98586,0.179319118388338
"DGP C: Tweedie Semicontinuous",500,5,0.03,"ZIC-BCF-Smear",0.0188113305544052,0.00891565823101196,0.93786,0.103146680668823
