"DGP","N","ZI_Level","Zero_Proportion","Model","Hurdle_RMSE","Hurdle_Abs_Bias","Hurdle_Coverage","Hurdle_CI_Length"
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"DPglm",0.0491796058106662,0.0326200944176393,0.99613,1.991739
"DGP C: Tweedie Semicontinuous",100,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",250,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",100,3,0.4,"Gamma Hurdle",0.220421909477947,0.0807836251552103,0.9371,0.828134363776542
"DGP C: Tweedie Semicontinuous",250,3,0.4,"Gamma Hurdle",0.149587538481254,0.05159806221667,0.93528,0.5517173948504
"DGP C: Tweedie Semicontinuous",500,3,0.4,"Gamma Hurdle",0.11135417389719,0.042811669794038,0.92436,0.39844336839907
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"Gamma Hurdle",0.089669798879913,0.0380682589411257,0.88127,0.285369110995803
"DGP C: Tweedie Semicontinuous",100,3,0.4,"ZIC-BCF-Smear",0.0694219412780367,0.0581217870194576,0.9924,0.456792001469489
"DGP C: Tweedie Semicontinuous",250,3,0.4,"ZIC-BCF-Smear",0.0514259533221479,0.0382550153501994,0.99732,0.333637432726837
"DGP C: Tweedie Semicontinuous",500,3,0.4,"ZIC-BCF-Smear",0.0443262937166703,0.0337085868974752,0.98356,0.253813606899982
"DGP C: Tweedie Semicontinuous",1000,3,0.4,"ZIC-BCF-Smear",0.0397201596518463,0.0279611578737339,0.96625,0.200632403065573
