"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",1,"OK",1.46798684685201,0.0717687960179394,2.15530411822352,0.759586395503503,1,0.582163354415741,74.0248433757668,2.22757324235551,0.0609509756605034,0.0137572039820606,0.998,0.160297237028086,1.998,0.085526
"DGP A (nonlinear): Log-Normal Hurdle",2,"OK",1.3953554626142,0.0730564793162102,1.98110786526522,0.214867011442438,1,0.395083425330135,61.9376846645798,1.61022247405663,0.0779007102978064,0.0480295206837898,1,0.0887422643867463,2,0.121086
"DGP A (nonlinear): Log-Normal Hurdle",3,"OK",1.21332229627424,0.0719070138943265,1.50677181989555,0.392857663385958,1,0.332943425053326,53.4224081087837,0.820464632888278,0.0685520698253442,0.0257250138943265,1,-0.0343988735950964,2,0.046182
"DGP A (nonlinear): Log-Normal Hurdle",4,"OK",1.36086139459503,0.0698640280873067,1.96148460924128,0.274523491819354,1,0.296255705769585,55.3802294475534,1.63538488641438,0.104560841714345,0.0843619719126933,1,0.0372850929784061,2,0.154226
"DGP A (nonlinear): Log-Normal Hurdle",5,"OK",1.37274337222837,0.0715123069258409,6.94006866655816,1.34311234567471,1,-0.483693700466873,75.1563373175448,0.0296310265536608,0.0919611763872285,0.0220203069258409,1,0.0709677831159177,2,0.049492
"DGP A (nonlinear): Log-Normal Hurdle",6,"OK",1.30505577790732,0.0709609555801723,2.10873997959161,0.961959003142254,1,0.265287543471816,54.9542130695196,2.26701478104958,0.101482011316453,0.0836890444198277,1,0.217647369557086,2,0.15465
"DGP A (nonlinear): Log-Normal Hurdle",7,"OK",1.32092658636603,0.0659446758790443,1.76833411350642,0.119970750278972,1,0.758836272035654,58.648000127263,1.440897336645,0.0556637893132729,0.0152926758790443,1,0.119456167039219,2,0.050652
"DGP A (nonlinear): Log-Normal Hurdle",8,"OK",1.34393361783001,0.0688754158550571,1.98842437753613,0.196455171144423,1,0.310084441425349,51.803336699001,1.14747844668559,0.0621500460997145,0.0167774158550571,1,-0.0255053902043986,2,0.052098
"DGP A (nonlinear): Log-Normal Hurdle",9,"OK",1.26636266625191,0.0654421606019721,2.50004019188756,1.32234137349028,1,0.625273162556609,60.222242364589,2.58870403974218,0.103144799318945,0.0857918393980279,1,0.164310873995295,2,0.151234
"DGP A (nonlinear): Log-Normal Hurdle",10,"OK",1.31328074704068,0.0703955425118843,2.11479964203221,0.0310299661079596,1,0.485933061248751,65.9475352723688,1.28225078093272,0.0653538962287453,0.0237844574881157,0.994,0.190281442507396,1.988,0.09418
"DGP A (nonlinear): Log-Normal Hurdle",11,"OK",1.36408447916929,0.0736926621004474,2.24860070242181,0.609123294455774,1,0.0924835577489568,53.7188177066559,1.97320777362506,0.0916135823769102,0.0686453378995526,1,0.139885794766807,2,0.142338
