arm,prior_radiotherapy,n,percent
Chemotherapy,N,60,23.076923076923077
Chemotherapy,Y,200,76.92307692307692
Panitumumab + chemotherapy,N,44,16.923076923076923
Panitumumab + chemotherapy,Y,216,83.07692307692308
