"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP C (nonlinear): Tweedie Semicontinuous",1,"OK",0.179774340934483,0.0517373543818313,0.363912112714733,0.0724302575108346,0.984,0.012607091217115,1.53534277339959,0.107344083423648,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",2,"OK",0.190058327717779,0.053554214632161,0.711406599088676,0.336810254849268,0.784,-0.114526179822838,1.56880739860171,-0.146751927131489,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",3,"OK",0.19386277034822,0.0506217469413154,1.53168460803878,0.651887125320192,0.668,-0.1436570207835,1.90139294873818,-0.458024354971971,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",4,"OK",0.167214574419584,0.0504742685817854,22921.5380220113,21644.8833851826,1,0.0957609489723236,205604.695689642,21645.050599757,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",5,"OK",0.168107596135877,0.0509384806424474,0.385986756054128,0.176697014532965,0.776,-0.207317948324167,1.1618263356039,-0.00858941839708785,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",6,"OK",0.171634674237786,0.052212650702827,0.403084944715237,0.202236885610205,0.944,-0.37672954122604,1.42145107021116,-0.0306022113724193,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",7,"OK",0.18636811387013,0.0532693465161535,0.422532069298199,0.0064161189695071,0.948,0.252698847624927,1.59733294347195,0.192784232839638,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",8,"OK",0.171663677339342,0.0487506793299295,1.41385603196285,0.38906238810175,0.868,-0.0949002844940429,2.2889135899565,-0.217398710762407,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",9,"OK",0.176790865604907,0.0504091881365901,0.564907076567316,0.00413548264773333,0.944,0.0531571403475815,1.6212388006788,0.172655382957174,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",10,"OK",0.178516758379617,0.054809738031281,0.727643635000179,0.0333965071124672,0.652,-0.00435342008408725,1.33487173349948,0.211913265492084,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",11,"OK",0.186653834903343,0.0513707092691459,0.279020108988393,0.145816208458108,0.952,-0.0693967027494713,1.30206424398621,0.040837626445235,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",12,"OK",0.181818892036178,0.0524894216548736,0.916940379396972,0.241238985325099,0.92,0.0603631087694915,2.5187240810121,-0.0594200932889214,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",13,"OK",0.183504062031868,0.052009156590066,1.04792263462143,0.291896439971331,0.624,-0.0257985018132664,2.13957755786954,-0.108392377939463,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",14,"OK",0.173790038749707,0.0514630434215178,0.471849385754333,0.161310190910757,0.92,0.0688958207187466,1.51107702562538,0.0124798478389495,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",15,"OK",0.164437727599184,0.0518649368678989,0.539587708615529,0.0801464027996188,0.772,0.139106396931329,1.48980251993426,0.0842913247995649,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",16,"OK",0.187741380857829,0.0506985022028121,0.730915095365986,0.345192321335896,0.78,-0.0679318251383693,1.4851422024885,-0.157450940478067,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",17,"OK",0.193237974582985,0.0508297297379331,0.550470507363444,0.156480923535757,0.872,-0.0958653702508321,1.57973499800302,0.0367570510472287,NA,NA,NA,NA,NA,NA
"DGP C (nonlinear): Tweedie Semicontinuous",18,"OK",0.197369483121649,0.0519969780066005,0.891290395931448,0.0185953844896163,0.9,-0.261067377332748,1.82232810668944,0.215964867611265,NA,NA,NA,NA,NA,NA
