"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaHurdle_CATE_RMSE","GammaHurdle_CATE_Abs_Bias","GammaHurdle_CATE_Coverage","GammaHurdle_CATE_Correlation","GammaHurdle_CATE_CI_Length","GammaHurdle_Est_ATE","GammaHurdle_Hurdle_RMSE","GammaHurdle_Hurdle_Abs_Bias","GammaHurdle_Hurdle_Coverage","GammaHurdle_Hurdle_Correlation","GammaHurdle_Hurdle_CI_Length","GammaHurdle_Est_Hurdle_ATE"
"DGP B (nonlinear): Gamma Hurdle",79,"OK",1.31089190304161,0.0576470115924034,3.11424488503736,0.434294184724901,0.904,-0.0173130539752832,6.47099221063682,1.74518608776651,0.157436975351898,0.0132434754392001,0.818,-0.204517756694706,0.39925084207189,0.0708904870316035
"DGP B (nonlinear): Gamma Hurdle",80,"OK",1.35184405093191,0.0602282978533523,692.068962400917,674.618774097014,0,0.159996391213396,641.080489042349,675.970618147946,0.121962695292738,0.0513888228182191,0.91,0.0923605205050819,0.396686023934135,0.111617120671571
"DGP B (nonlinear): Gamma Hurdle",81,"OK",1.29865211627989,0.0563029015796888,2.90565860401565,0.220629199837235,0.772,-0.0501857718205144,5.58814405699775,1.07802291644265,0.0618973618863817,0.0141182639003903,0.994,0.234954167056608,0.387162504772089,0.0421846376792986
"DGP B (nonlinear): Gamma Hurdle",82,"OK",1.26464181594076,0.0553715016496856,3.92497159451514,0.129025001036924,0.676,-0.504413843207987,6.20711413390039,1.13561681490384,0.116930091050618,0.0110336201620179,0.942,0.0928923091034484,0.395171435516768,0.0443378814876677
"DGP B (nonlinear): Gamma Hurdle",83,"OK",1.34095703900886,0.0546563796969859,4.80350787494285,0.221429719400519,0.722,-0.552390020982019,6.81774238186766,1.11952731960834,0.111609893175443,0.0197264495684881,0.96,0.0275699644283786,0.399743928324742,0.0349299301284978
"DGP B (nonlinear): Gamma Hurdle",84,"OK",1.37216472714556,0.0603588008055665,3.23062575542019,0.952752327078675,0.692,0.0845103992386911,6.38599366734865,2.32491705422423,0.12578679529518,0.0251347413546096,0.902,0.0864362144654767,0.401940955638605,0.0854935421601761
"DGP B (nonlinear): Gamma Hurdle",85,"OK",1.26821780925764,0.0592010071449749,2.45633249693555,0.0234260648646486,0.846,0.285979786212757,6.11388550192151,1.29164387412229,0.1096995548964,0.0434216279236704,0.942,-0.112572111154828,0.401110863029708,0.0157793792213045
"DGP B (nonlinear): Gamma Hurdle",86,"OK",1.28813576461792,0.0578047989280021,4.13777529295101,1.59639067051406,0.734,0.34711465475713,7.05243837836085,2.88452643513198,0.126479638810494,0.0463450742266921,0.884,-0.0169268070017486,0.400886381472953,0.104149873154694
"DGP B (nonlinear): Gamma Hurdle",87,"OK",1.36133419370153,0.0571971822453571,2.80230373855742,0.56859614447949,0.952,0.283965382343424,6.70994039020785,1.92993033818102,0.107746931194665,0.0378803326788764,0.976,0.095364831691507,0.411050340666639,0.0950775149242335
"DGP B (nonlinear): Gamma Hurdle",88,"OK",1.45220214518372,0.0581668623381776,4.09436333390285,0.401217768133102,0.968,-0.00419123394655998,6.04084045612722,1.05098437705061,0.152252841065433,0.028815430239781,0.848,-0.0560710384435381,0.393491045100118,0.0869822925779586
"DGP B (nonlinear): Gamma Hurdle",89,"OK",1.4551529805169,0.0608435764514228,6.34110753308843,2.20363496610319,0.532,-0.028214565166067,8.0414317005179,3.65878794662009,0.0851717325192944,0.0113142280515392,1,-0.09514728765896,0.409048756347948,0.0721578045029621
"DGP B (nonlinear): Gamma Hurdle",90,"OK",1.3981200225574,0.0624219803150031,3.47902396268045,0.887054801996467,0.862,-0.466341235158144,6.07473683640747,0.51106522056093,0.136684485681435,0.0634867818840162,0.88,-0.253685719142896,0.389197722933758,-0.00106480156901309
"DGP B (nonlinear): Gamma Hurdle",91,"OK",1.25689792037678,0.0582992587372,2.93027322874815,0.767698175241756,0.772,-0.119025112662166,5.66998527820181,0.489199745135027,0.0866476549038058,0.0215577243102084,0.988,0.0638997646934474,0.372845496795288,0.0798569830474084
"DGP B (nonlinear): Gamma Hurdle",92,"OK",1.48915843479312,0.0592735091621654,4.9281262148416,0.22442975882347,0.698,-0.268094344626666,7.43254913557982,1.71358819361659,0.136364462162307,0.0547293548315424,0.852,-0.0821624490090285,0.39532177286412,0.004544154330623
"DGP B (nonlinear): Gamma Hurdle",93,"OK",1.42388703132848,0.0611272229895922,2.24684300812576,0.483553718140501,0.94,-0.214339646365868,5.45434824259924,0.940333313187975,0.164566267346609,0.100737999532644,0.708,-0.142596690958076,0.389473580569532,-0.0396107765430515
"DGP B (nonlinear): Gamma Hurdle",94,"OK",1.36594710374986,0.0573744532255875,5.14445038004431,1.26891014180603,0.706,-0.234348559086759,8.85452858168823,2.63485724555589,0.137301563268404,0.0130643096281392,0.884,-0.1680087207209,0.401410341640371,0.0704387628537267
"DGP B (nonlinear): Gamma Hurdle",95,"OK",1.36927809997333,0.0585991756928698,4.77395369010415,0.96080283145488,0.672,0.41120623718622,8.99761123425187,2.33008093142821,0.127687599788571,0.0325141597113547,0.932,-0.140156545829863,0.43055910492848,0.0260850159815152
"DGP B (nonlinear): Gamma Hurdle",96,"OK",1.24326890827582,0.0591379402329496,4.13476101051426,0.7568185703145,0.596,0.00288541166312265,6.05368981495307,2.00008747859032,0.0887102387904685,0.00784146668113101,0.99,0.193557618786597,0.404033565086015,0.0669794069140806
"DGP B (nonlinear): Gamma Hurdle",97,"OK",1.32919762422608,0.0574860896382209,2.9549895218827,0.849165457070343,0.82,0.264598451716795,6.06798388421351,2.17836308129642,0.107918467568464,0.00640593126318365,0.972,-0.00844063186787011,0.386731082284574,0.0510801583750372
"DGP B (nonlinear): Gamma Hurdle",98,"OK",1.27063928314601,0.0599183388396768,2.44702715021533,0.395267601721658,0.778,-0.126112399839037,5.35125994746849,1.66590688486766,0.14286758852591,0.0106233851626082,0.85,-0.202758745093256,0.387105526728242,0.070541724002285
"DGP B (nonlinear): Gamma Hurdle",99,"OK",1.35549670114577,0.0586521835936391,2.51372425501833,0.670915532869254,0.836,0.0991744512192059,5.05736259330777,2.02641223401502,0.199014156910044,0.11475369754769,0.688,-0.00168164847719152,0.385581126770189,0.173405881141329
"DGP B (nonlinear): Gamma Hurdle",100,"OK",1.44636921318671,0.0656012761951343,4.12811791765062,1.05781601636368,0.674,-0.0123528667322843,6.20053797310336,2.50418522955039,0.134820153757948,0.0718706496209062,0.858,-0.0273334830719013,0.378178677912952,0.13747192581604
