"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","GammaP01_CATE_RMSE","GammaP01_CATE_Abs_Bias","GammaP01_CATE_Coverage","GammaP01_CATE_Correlation","GammaP01_CATE_CI_Length","GammaP01_Est_ATE","GammaP01_Hurdle_RMSE","GammaP01_Hurdle_Abs_Bias","GammaP01_Hurdle_Coverage","GammaP01_Hurdle_Correlation","GammaP01_Hurdle_CI_Length","GammaP01_Est_Hurdle_ATE"
"DGP A (nonlinear): Log-Normal Hurdle",28,"OK",1.49776438423843,0.0630782467065841,9.1826494031813,0.122248649645326,0.88,-0.303458538434568,23.0188193101477,1.62001303388375,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",29,"OK",1.52132568690878,0.0607422958055559,4.85063263453731,0.574257185657954,0.99,-0.182748326653978,21.5446242402158,0.94706850125083,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",30,"OK",1.78610018456395,0.0687685747342664,2.70354859155028,0.580721230659992,0.98,0.194827109930671,13.357444972818,1.20537895390396,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",31,"OK",1.47152543672468,0.0674197624737032,6.85274134304428,3.26804699903465,0.96,0.37404022049969,17.7476435817077,4.73957243575933,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",32,"OK",1.74191903420493,0.061971413249824,19.4645854048369,7.10476210750807,0.87,0.456192306409653,38.1731824787941,8.846681141713,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",33,"OK",2.04267087685682,0.0540716339436352,7.59929814974307,3.47813479689784,0.93,0.762234647675674,26.8774204314145,5.52080567375467,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",34,"OK",1.29596826709592,0.0626230653639857,17.0259975478407,0.659660321080746,0.61,-0.204449745915914,34.5671161964789,1.95562858817667,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",35,"OK",1.91474293635421,0.064700357734336,99213.1995623448,26686.7614602932,0.02,0.0680186129320569,42467.2565233584,-26684.8467173568,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",36,"OK",1.51250318638948,0.0551470284423705,8.89317725493258,2.88133300642984,0.85,-0.182954213037517,17.703161019039,4.39383619281931,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",37,"OK",1.57809388775035,0.0611023208516014,13.3368811740992,1.10671912026771,0.81,-0.053534920917829,41.3530951936822,2.68481300801806,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",38,"OK",1.42880619335501,0.0658688790530223,5.15741153551518,0.0920773130657614,1,-0.156289149791587,20.500520112722,1.52088350642077,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",39,"OK",1.30493610248868,0.0519503519059659,7.65614675737937,0.504386325769126,0.75,-0.188928834127326,17.8264522294151,1.80932242825781,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",40,"OK",1.63364644660518,0.0575155819586356,24.9649864450786,1.71640770418164,0.73,0.210194494557278,57.2300601190634,3.35005415078682,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",41,"OK",1.44050461672867,0.0599560111789863,83.2325427525955,20.0097902368894,0.79,-0.181535442026955,96.9735302493543,-18.5692856201607,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",42,"OK",1.54872217810371,0.0589857463532981,16.145272868483,5.56230229837846,0.93,0.208963975018825,26.3062200715516,7.11102447648216,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",43,"OK",1.65760802104655,0.0567144684600838,248737882836.214,12503175262.0412,1,0.216810613788735,21372949163048.9,-12503175260.3836,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",44,"OK",1.32162679367322,0.054197807649304,6.7792222679179,3.36456320182346,1,0.40159400598773,20.680063342447,4.68618999549667,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",45,"OK",1.74265169289428,0.0595738537095621,5.73877631140749,1.16460304674327,0.92,0.543288404706797,19.4376053665112,2.90725473963754,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",46,"OK",1.52498577399706,0.0510287886752774,5.34464049605993,0.445822312649712,0.89,0.159685471781507,20.1778363480426,1.07916346134735,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",47,"OK",1.4244172243774,0.0582120716557352,3.92414822197977,1.35375521300533,0.99,-0.392208537540249,19.7143424671845,2.77817243738274,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",48,"OK",1.4008965021905,0.0553390696253877,6.28137489329177,0.138435584629399,0.85,0.0391099659442403,14.9530011998666,1.5393320868199,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",49,"OK",1.30779556337664,0.0602612103573647,3.48984389310119,0.842077738172341,0.96,0.148735581689481,14.2810691843376,2.14987330154898,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",50,"OK",1.63079474604808,0.0543458223926749,8.90688754143955,1.27408852560096,0.8,-0.36999417740129,20.723328150217,2.90488327164904,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",51,"OK",1.49862793117605,0.0627179038756715,15.3447377624367,1.83407106100748,0.91,-0.495160949475902,31.7359039683237,3.33269899218353,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",52,"OK",1.74767399382238,0.0597676149430062,13.1834250432001,1.37610696817834,0.87,-0.691529608023747,28.5446993223926,0.371567025644045,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",53,"OK",1.54030284259824,0.0582667930446233,29.8341298010738,8.09043160965456,0.81,-0.22734145413948,49.0778151566075,-6.55012876705631,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",54,"OK",1.25529458148474,0.0591338565235514,15.3190108071227,5.31724557058971,0.62,-0.203585469373412,18.1891312189143,-4.06195098910497,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",55,"OK",1.56235480138293,0.051705100218712,20.2371775431226,5.84085103170423,0.71,-0.674067582444764,22.54353678123,-4.27849623032131,NA,NA,NA,NA,NA,NA
"DGP A (nonlinear): Log-Normal Hurdle",56,"OK",1.15625961981291,0.0528334082640105,29.7257304813941,10.0844396495617,0.7,-0.4094086370545,42.3766188831998,11.2406992693747,NA,NA,NA,NA,NA,NA
