"DGP","N","ZI_Level","Zero_Proportion","Model","Hurdle_RMSE","Hurdle_Abs_Bias","Hurdle_Coverage","Hurdle_CI_Length"
"DGP A: Log-Normal Hurdle",500,1,0.854,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,2,0.619,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.367,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,4,0.185,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,5,0.066,"BCF-Linear",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,1,0.854,"DPglm",0.0497563696176405,0.0296336266717738,0.8661,1.6405995
"DGP A: Log-Normal Hurdle",500,2,0.619,"DPglm",0.054925880273621,0.0370706851866483,0.99398,1.9874875
"DGP A: Log-Normal Hurdle",500,3,0.367,"DPglm",0.0527153793663407,0.0309563010023659,0.99688,1.9897495
"DGP A: Log-Normal Hurdle",500,4,0.185,"DPglm",0.0466569781493386,0.0254173011710404,0.94252,1.82828
"DGP A: Log-Normal Hurdle",500,5,0.066,"DPglm",0.0366350955344376,0.0182748668018641,0.60738,0.985036
"DGP A: Log-Normal Hurdle",500,1,0.854,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,2,0.619,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,4,0.185,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,5,0.066,"Gamma +.01",NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,1,0.854,"Gamma Hurdle",0.0803920100526043,0.0207507614594956,0.95132,0.278959123154002
"DGP A: Log-Normal Hurdle",500,2,0.619,"Gamma Hurdle",0.0984679793388384,0.0357877193553812,0.93832,0.370487374521078
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma Hurdle",0.097816642570367,0.0315055726234993,0.9397,0.378905216940225
"DGP A: Log-Normal Hurdle",500,4,0.185,"Gamma Hurdle",0.0822055075434217,0.0251778505484255,0.96034,0.319558533158438
"DGP A: Log-Normal Hurdle",500,5,0.066,"Gamma Hurdle",0.0759350912605657,0.0157353454869952,0.95998,0.257467964022996
"DGP A: Log-Normal Hurdle",500,1,0.854,"ZIC-BCF-Smear",0.0363468622273857,0.0203643888966151,0.98252,0.194864268844615
"DGP A: Log-Normal Hurdle",500,2,0.619,"ZIC-BCF-Smear",0.0493250607022214,0.0349617945374228,0.99182,0.279983330231585
"DGP A: Log-Normal Hurdle",500,3,0.367,"ZIC-BCF-Smear",0.0460290284108184,0.0318931979726791,0.99326,0.271009052950584
"DGP A: Log-Normal Hurdle",500,4,0.185,"ZIC-BCF-Smear",0.0330079683335189,0.0221865277324255,0.98378,0.211132666976423
"DGP A: Log-Normal Hurdle",500,5,0.066,"ZIC-BCF-Smear",0.0225635448630753,0.0138194958794854,0.97786,0.131630806622903
"DGP B: Gamma Hurdle",500,1,0.851,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,2,0.607,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,3,0.395,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,4,0.181,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,5,0.049,"BCF-Linear",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,1,0.851,"DPglm",0.0473783792891457,0.0296367461167992,0.86888,1.650671
"DGP B: Gamma Hurdle",500,2,0.607,"DPglm",0.0557838157428122,0.0378382442788934,0.99404,1.9875495
"DGP B: Gamma Hurdle",500,3,0.395,"DPglm",0.0550011171815716,0.032693747986176,0.99654,1.989142
"DGP B: Gamma Hurdle",500,4,0.181,"DPglm",0.0472063428663109,0.0256173677669968,0.94132,1.8259825
"DGP B: Gamma Hurdle",500,5,0.049,"DPglm",0.0389891160810271,0.0194351399680275,0.61838,0.9768465
"DGP B: Gamma Hurdle",500,1,0.851,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,2,0.607,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,4,0.181,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,5,0.049,"Gamma +.01",NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,1,0.851,"Gamma Hurdle",0.0805833264912197,0.0207209461697273,0.94968,0.278909650588252
"DGP B: Gamma Hurdle",500,2,0.607,"Gamma Hurdle",0.0983434376985826,0.0357432079574126,0.93838,0.370599669241164
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma Hurdle",0.0975890582245453,0.0313038465047241,0.93994,0.379017930025852
"DGP B: Gamma Hurdle",500,4,0.181,"Gamma Hurdle",0.0825308275577113,0.0252055921839375,0.95948,0.320030962363899
"DGP B: Gamma Hurdle",500,5,0.049,"Gamma Hurdle",0.0760845079098095,0.0159469737328811,0.95748,0.257379202010473
"DGP B: Gamma Hurdle",500,1,0.851,"ZIC-BCF-Smear",0.0363406433362373,0.0204761754546826,0.98556,0.19499465798343
"DGP B: Gamma Hurdle",500,2,0.607,"ZIC-BCF-Smear",0.0498697214959804,0.0355392283550999,0.98962,0.279615888931808
"DGP B: Gamma Hurdle",500,3,0.395,"ZIC-BCF-Smear",0.0458557413945475,0.0318956484113767,0.9934,0.270559523834219
"DGP B: Gamma Hurdle",500,4,0.181,"ZIC-BCF-Smear",0.0337420866249953,0.0219979558226093,0.98214,0.214270200515424
"DGP B: Gamma Hurdle",500,5,0.049,"ZIC-BCF-Smear",0.0230351672353165,0.014007217282137,0.9736,0.134460255927598
"DGP C: Tweedie Semicontinuous",500,1,0.6,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,2,0.397,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.18,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,4,0.115,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,5,0.028,"BCF-Linear",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,1,0.6,"DPglm",0.0594047863932371,0.0445254221592211,0.99966,1.9993015
"DGP C: Tweedie Semicontinuous",500,2,0.397,"DPglm",0.0563097403712528,0.0382371139863144,0.99956,1.9981825
"DGP C: Tweedie Semicontinuous",500,3,0.18,"DPglm",0.043577538983512,0.0233894192359805,0.87032,1.5827355
"DGP C: Tweedie Semicontinuous",500,4,0.115,"DPglm",0.043577538983512,0.0233894192359805,0.87032,1.5827355
"DGP C: Tweedie Semicontinuous",500,5,0.028,"DPglm",0.0329161390381083,0.0160770596328024,0.52576,0.764621
"DGP C: Tweedie Semicontinuous",500,1,0.6,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,2,0.397,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,4,0.115,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,5,0.028,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,1,0.6,"Gamma Hurdle",0.0973599236683943,0.0356033708540915,0.9439,0.38886903557814
"DGP C: Tweedie Semicontinuous",500,2,0.397,"Gamma Hurdle",0.0983850170449256,0.0351903123669004,0.94894,0.388243017000918
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma Hurdle",0.0810976156064805,0.0181497128945142,0.94952,0.28384083917732
"DGP C: Tweedie Semicontinuous",500,4,0.115,"Gamma Hurdle",0.0810976156064805,0.0181497128945142,0.94952,0.28384083917732
"DGP C: Tweedie Semicontinuous",500,5,0.028,"Gamma Hurdle",0.0706630396749176,0.0145928101572232,0.97916,0.273777288046721
"DGP C: Tweedie Semicontinuous",500,1,0.6,"ZIC-BCF-Smear",0.044958425592131,0.0329272610100101,0.97894,0.283727715484479
"DGP C: Tweedie Semicontinuous",500,2,0.397,"ZIC-BCF-Smear",0.0463800263245499,0.0345373518331551,0.99664,0.287723329078816
"DGP C: Tweedie Semicontinuous",500,3,0.18,"ZIC-BCF-Smear",0.0275280361937303,0.0172187832549569,0.9926,0.177442108468253
"DGP C: Tweedie Semicontinuous",500,4,0.115,"ZIC-BCF-Smear",0.0275280361937303,0.0172187832549569,0.9926,0.177442108468253
"DGP C: Tweedie Semicontinuous",500,5,0.028,"ZIC-BCF-Smear",0.0182761019658436,0.00997829391583843,0.96998,0.109433248472416
