"DGP","Seed","Status","True_ATE","True_Hurdle_ATE","DPglm_CATE_RMSE","DPglm_CATE_Abs_Bias","DPglm_CATE_Coverage","DPglm_CATE_Correlation","DPglm_CATE_CI_Length","DPglm_Est_ATE","DPglm_Hurdle_RMSE","DPglm_Hurdle_Abs_Bias","DPglm_Hurdle_Coverage","DPglm_Hurdle_Correlation","DPglm_Hurdle_CI_Length","DPglm_Est_Hurdle_ATE"
"DGP C: Tweedie Semicontinuous",1,"OK",2.77011576670263,0.0213711480183911,6.51646524290849,0.993266111406395,1,0.619772818046114,40.6364046757792,1.77684965529624,0.0504535651056721,0.0315978519816089,0.951,-0.0233347123654479,1.751475,0.052969
"DGP C: Tweedie Semicontinuous",2,"OK",2.51273758688065,0.0221051664161677,3.56806578846959,0.268720055050529,1,0.638081291069181,40.8098181019263,2.24401753183012,0.0289022890602397,0.00750916641616774,0.837,-0.123720684773182,1.532675,0.014596
"DGP C: Tweedie Semicontinuous",3,"OK",2.72720559580676,0.0213080347042642,3.64109093421516,0.0373870111051999,1,0.710305366928919,41.3855828515124,2.68981858470156,0.0446415162302147,0.0232459652957358,0.891,-0.0265447923490739,1.615475,0.044554
"DGP C: Tweedie Semicontinuous",4,"OK",2.78206004564607,0.0210137356648442,4.69988211819316,1.32902441246168,0.996,0.143667761612999,41.5930669988276,1.45303563318439,0.0297899955826601,0.00696226433515584,0.918,-0.0182414280251897,1.709575,0.027976
"DGP C: Tweedie Semicontinuous",5,"OK",2.66342119695655,0.0214491455920264,4.36877865387636,1.35040331878165,0.999,0.717651967068414,41.167659676896,1.3130178781749,0.0265909408741013,0.00924085440797361,0.904,0.13917871906254,1.697275,0.03069
"DGP C: Tweedie Semicontinuous",6,"OK",2.41180215679913,0.0216937746525349,4.16739222624349,1.15258387829849,0.999,0.0447116997675375,40.2510243976399,1.25921827850064,0.0272106105211651,0.00459722534746506,0.868,-0.0275353920343063,1.584725,0.026291
"DGP C: Tweedie Semicontinuous",7,"OK",2.47478383903016,0.0221837032714411,3.72968937883823,1.0968390489799,1,0.615672808812227,39.8786676269182,1.37794479005026,0.05849655771606,0.0378692967285589,0.924,0.120245392950377,1.5338,0.060053
"DGP C: Tweedie Semicontinuous",8,"OK",2.69545435296753,0.0215674859787271,4.03441832964532,1.00061420579548,0.998,0.617608048249205,41.0049632462267,1.69484014717205,0.0226467769073349,0.000155485978727121,0.924,-0.0629063154679484,1.759375,0.021412
"DGP C: Tweedie Semicontinuous",9,"OK",2.57591301621224,0.0213855075776258,5.67263140988858,1.73411163324423,0.996,-0.404991630483135,39.5639596774966,0.841801382968011,0.0450815591646816,0.0227374924223742,0.873,0.0190575339759363,1.549675,0.044123
"DGP C: Tweedie Semicontinuous",10,"OK",2.61808915857038,0.021538247365463,3.28002140513059,0.546610288290427,0.999,0.730288851248117,42.3801141573556,2.07147887027996,0.0383149965230431,0.018952752634537,0.88,0.0912874092670039,1.553575,0.040491
