"DGP","N","ZI_Level","Zero_Proportion","Model","Hurdle_RMSE","Hurdle_Abs_Bias","Hurdle_Coverage","Hurdle_CI_Length"
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"DPglm",0.0356718490834814,0.0173215369225075,0.88255,1.6390615
"DGP C: Tweedie Semicontinuous",100,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",250,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"Gamma +.01",NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",100,3,0.18,"Gamma Hurdle",0.172511630377911,0.0500035226733285,0.975,0.88768693628106
"DGP C: Tweedie Semicontinuous",250,3,0.18,"Gamma Hurdle",0.113744293245342,0.028917937090812,0.9676,0.439047090257896
"DGP C: Tweedie Semicontinuous",500,3,0.18,"Gamma Hurdle",0.0810976156064805,0.0181497128945142,0.94952,0.28384083917732
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"Gamma Hurdle",0.0605839193508334,0.0153274994745338,0.92689,0.192021436755791
"DGP C: Tweedie Semicontinuous",100,3,0.18,"ZIC-BCF-Smear",0.043871481919606,0.0313655469037367,0.9534,0.323149665644139
"DGP C: Tweedie Semicontinuous",250,3,0.18,"ZIC-BCF-Smear",0.0345828427895886,0.0247310909495695,0.98164,0.225954029148984
"DGP C: Tweedie Semicontinuous",500,3,0.18,"ZIC-BCF-Smear",0.0275280361937303,0.0172187832549569,0.9926,0.177442108468253
"DGP C: Tweedie Semicontinuous",1000,3,0.18,"ZIC-BCF-Smear",0.0257318855550176,0.0147676067583106,0.97924,0.143180385457138
