"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias"
"DGP A: Log-Normal Hurdle",500,1,0.854,"BCF-Linear",3.06436817225013,0.33493425581549,0.86558,0.341044626656658,3.27196537307077,0.426811078458423,0.16877526368637
"DGP A: Log-Normal Hurdle",500,2,0.619,"BCF-Linear",3.72648748193276,0.627073383473724,0.8975,0.340217240389345,5.54127840297218,0.861405843533282,0.278660513336134
"DGP A: Log-Normal Hurdle",500,3,0.367,"BCF-Linear",3.66203916620638,0.640462541772828,0.93194,0.184224828311988,6.31497825771435,0.849362372266345,0.282078408428869
"DGP A: Log-Normal Hurdle",500,4,0.185,"BCF-Linear",3.54095557659709,0.546303716984827,0.92962,-0.0303202914376909,6.20055824127678,0.707680466482944,0.22717512775222
"DGP A: Log-Normal Hurdle",500,5,0.066,"BCF-Linear",3.98818121409212,0.598359425748219,0.92246,-0.0867023661745983,5.634719006445,0.86327382132534,0.293263460868222
"DGP A: Log-Normal Hurdle",500,1,0.854,"DPglm",0.935976939767618,0.319777948788852,0.86506,0.53634428835208,45.0770482663273,0.413148222956714,0.166262883721512
"DGP A: Log-Normal Hurdle",500,2,0.619,"DPglm",1.08591718860074,0.524159930539022,0.99658,0.578497006475116,51.4668253027864,0.666076110313637,0.438720963366033
"DGP A: Log-Normal Hurdle",500,3,0.367,"DPglm",1.40885559895823,0.652407582601233,0.99986,0.320802489172906,51.2099303323672,0.78098166168616,0.636883676348064
"DGP A: Log-Normal Hurdle",500,4,0.185,"DPglm",1.76409492170283,0.748582549377215,0.99988,0.0430671566367341,49.7649907688284,0.868017261001107,0.719934616371187
"DGP A: Log-Normal Hurdle",500,5,0.066,"DPglm",1.98587407854704,0.837271303049464,1,-0.0581952966085795,48.4785560860832,0.945963769368662,0.810256304223112
"DGP A: Log-Normal Hurdle",500,1,0.854,"Gamma Hurdle",1.60978896700573,0.275922289107888,0.9497,0.318840335606778,3.48786828571947,0.347367701992335,0.0640104658696262
"DGP A: Log-Normal Hurdle",500,2,0.619,"Gamma Hurdle",1.71264898284142,0.459252668034048,0.9343,0.442918937143841,4.19565382779909,0.566395686545065,0.0292556494024561
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma Hurdle",1.81032220990887,0.471657981806819,0.94876,0.418941824409187,4.64139448851247,0.584871329775327,0.0286069825959612
"DGP A: Log-Normal Hurdle",500,4,0.185,"Gamma Hurdle",1.78578428035244,0.46945729705917,0.95624,0.490297905374249,4.71574115638695,0.568840808514873,0.0594838012724689
"DGP A: Log-Normal Hurdle",500,5,0.066,"Gamma Hurdle",1.85668595732074,0.412274103463856,0.95756,0.521672722257027,4.71118109138679,0.526874727590995,0.0641476529092636
"DGP A: Log-Normal Hurdle",500,1,0.854,"Gamma +.01",144330821.420304,33750380.0855222,0.804,0.218274046192697,55673215.6843888,199729942.824445,97834.9918980213
"DGP A: Log-Normal Hurdle",500,2,0.619,"Gamma +.01",5.07390418026996,0.825077545504885,0.899,0.138414829171019,8.07010751171069,1.1360964891149,0.442971602476653
"DGP A: Log-Normal Hurdle",500,3,0.367,"Gamma +.01",2.94581064788098,0.606114743994805,0.91734,0.267071573026728,6.21539089571985,0.765439634571057,0.211753339666926
"DGP A: Log-Normal Hurdle",500,4,0.185,"Gamma +.01",2.03818874259607,0.506623718909713,0.9419,0.453369667247373,4.95404680658815,0.629178910895021,0.0827922107853131
"DGP A: Log-Normal Hurdle",500,5,0.066,"Gamma +.01",1.69228175441618,0.41677991736824,0.94186,0.555978459503118,4.2698671174224,0.531225371767927,0.00536554905356804
"DGP A: Log-Normal Hurdle",500,1,0.854,"ZIC-BCF-Smear",0.549601583190154,0.184313602880249,0.97714,0.766818282653341,2.27778913180983,0.247476420135479,0.0299809114328574
"DGP A: Log-Normal Hurdle",500,2,0.619,"ZIC-BCF-Smear",1.06944660195016,0.384792533025005,0.96756,0.685102619853861,3.44723421867197,0.483300131008566,0.211779709349649
"DGP A: Log-Normal Hurdle",500,3,0.367,"ZIC-BCF-Smear",1.52649422510898,0.475842086078099,0.9491,0.397000344120311,3.81862650389416,0.613701835213158,0.4056907693939
"DGP A: Log-Normal Hurdle",500,4,0.185,"ZIC-BCF-Smear",1.98605507575805,0.59278172613983,0.9203,0.0317635923989676,3.90979066188057,0.692998403973578,0.570041398366856
"DGP A: Log-Normal Hurdle",500,5,0.066,"ZIC-BCF-Smear",2.3199496986632,0.704711474757396,0.8997,-0.164232547984867,3.9500752717532,0.797511197051436,0.694563610642675
"DGP B: Gamma Hurdle",500,1,0.851,"BCF-Linear",3.11780865844906,0.345687538589116,0.8551,0.338461253107388,2.90320243443368,0.426554250685198,0.189034184958648
"DGP B: Gamma Hurdle",500,2,0.607,"BCF-Linear",3.77756538432594,0.535012936174189,0.91328,0.326695927307063,5.57934757794205,0.72639611865847,0.227382540703759
"DGP B: Gamma Hurdle",500,3,0.395,"BCF-Linear",4.0102631921771,0.64285305752997,0.92534,0.155535910126266,6.48948417638092,0.812277804581365,0.253314019330454
"DGP B: Gamma Hurdle",500,4,0.181,"BCF-Linear",3.82292138287737,0.67144658478292,0.92308,-0.0341375898614028,6.24709121528339,0.805597941339209,0.253929953341009
"DGP B: Gamma Hurdle",500,5,0.049,"BCF-Linear",4.00158109654103,0.639244806175349,0.92798,-0.0835743514590381,6.20258399402839,0.771590207354793,0.267166214879884
"DGP B: Gamma Hurdle",500,1,0.851,"DPglm",0.917284007850569,0.287486499828226,0.86832,0.487604698356043,44.3279115827029,0.359421902047753,0.158653499292044
"DGP B: Gamma Hurdle",500,2,0.607,"DPglm",1.07087395981094,0.501390519149206,0.99648,0.545514399160413,51.0254734912135,0.619323905215256,0.410338559745133
"DGP B: Gamma Hurdle",500,3,0.395,"DPglm",1.40610598214597,0.583834772755307,0.99984,0.275141915283453,51.7593902961192,0.7125325176426,0.520069179402504
"DGP B: Gamma Hurdle",500,4,0.181,"DPglm",1.79737538247645,0.633510443300797,0.99994,0.0019789431663745,51.0124385839742,0.780139365936054,0.575358289594109
"DGP B: Gamma Hurdle",500,5,0.049,"DPglm",1.98006981176012,0.697162147085524,0.99998,-0.0459433378391083,50.3201756703256,0.827669648557069,0.642023297331051
"DGP B: Gamma Hurdle",500,1,0.851,"Gamma Hurdle",4.2789213209812,0.450499550592074,0.94862,0.239142568344356,5.07050347320468,1.17967622654658,0.240836531339159
"DGP B: Gamma Hurdle",500,2,0.607,"Gamma Hurdle",1.72267756276028,0.392189325391709,0.93974,0.402126746864156,4.32050908922191,0.503023947242843,0.0489435383547734
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma Hurdle",1.90608847170481,0.516613485558439,0.93712,0.370433144743019,4.86012924087238,0.628817886939364,0.0244070290334104
"DGP B: Gamma Hurdle",500,4,0.181,"Gamma Hurdle",1.91698693959864,0.518244952376441,0.94886,0.383400864330203,5.06471753190819,0.638380465288056,0.00595890550636561
"DGP B: Gamma Hurdle",500,5,0.049,"Gamma Hurdle",1.95069856485103,0.46406440344374,0.95574,0.442443718164354,5.15844862133565,0.576096434666716,0.0153945738183447
"DGP B: Gamma Hurdle",500,1,0.851,"Gamma +.01",30741545289.3583,14857588970.6977,0.77456,0.252001922548343,232505907817.695,91998620738.197,14777312620.7163
"DGP B: Gamma Hurdle",500,2,0.607,"Gamma +.01",5.06985983055833,0.765751486863603,0.89592,0.102913958285871,8.07623219110618,1.0279697490048,0.389536669525586
"DGP B: Gamma Hurdle",500,3,0.395,"Gamma +.01",3.07551632738721,0.659428892509762,0.91068,0.258505883759747,6.35049522110444,0.836485988381149,0.245869192423097
"DGP B: Gamma Hurdle",500,4,0.181,"Gamma +.01",2.15587852212939,0.575019425726296,0.93448,0.357224617588453,5.27834362042251,0.708651274809885,0.0336019065260237
"DGP B: Gamma Hurdle",500,5,0.049,"Gamma +.01",1.84787945553925,0.479698792164458,0.94788,0.464200033429199,4.85178875969656,0.598524130486004,0.0397905448876219
"DGP B: Gamma Hurdle",500,1,0.851,"ZIC-BCF-Smear",0.50405602318141,0.182864131261879,0.98174,0.726136927990405,2.40130607398834,0.24055849091501,0.0278973886836558
"DGP B: Gamma Hurdle",500,2,0.607,"ZIC-BCF-Smear",0.993485581236014,0.389536006923476,0.97598,0.672379598263049,3.70467070074221,0.524445561712023,0.191300163748597
"DGP B: Gamma Hurdle",500,3,0.395,"ZIC-BCF-Smear",1.38038856100565,0.491343757368784,0.95718,0.398350321190837,4.17429147753162,0.650462599698672,0.338520216909604
"DGP B: Gamma Hurdle",500,4,0.181,"ZIC-BCF-Smear",1.81608390563775,0.618965058967154,0.9302,0.0299790402963263,4.40166289476818,0.774854359008337,0.48603005439418
"DGP B: Gamma Hurdle",500,5,0.049,"ZIC-BCF-Smear",2.09662699434986,0.682354644952117,0.91978,-0.164418955474584,4.49647704646818,0.82987068221613,0.589315365137692
"DGP C: Tweedie Semicontinuous",500,1,0.6,"BCF-Linear",0.31962727342336,0.0397629306065359,0.87928,0.505134990820762,0.445885828827655,0.0480699548922311,0.0151911959677637
"DGP C: Tweedie Semicontinuous",500,2,0.397,"BCF-Linear",1.02876848540915,0.115330709404108,0.8717,0.629276219084159,1.52363504526398,0.147486619821257,0.039414599261594
"DGP C: Tweedie Semicontinuous",500,3,0.18,"BCF-Linear",5.3874045556232,0.585333557518939,0.85292,0.723485884275055,7.37918544044042,0.715363933845249,0.168570404825844
"DGP C: Tweedie Semicontinuous",500,4,0.115,"BCF-Linear",5.3874045556232,0.585333557518939,0.85292,0.723485884275055,7.37918544044042,0.715363933845249,0.168570404825844
"DGP C: Tweedie Semicontinuous",500,5,0.028,"BCF-Linear",12.8593580919014,1.29604936155724,0.84176,0.755289716340438,16.4578258590853,1.58570676067693,0.248202433433966
"DGP C: Tweedie Semicontinuous",500,1,0.6,"DPglm",0.322434334903219,0.0346777365563623,0.99984,0.0911896249921152,39.2664612355849,0.0430352495546594,0.00300050371111742
"DGP C: Tweedie Semicontinuous",500,2,0.397,"DPglm",0.681992790569636,0.097933369197037,0.9999,0.202130353912207,37.6345957950658,0.121059699578294,0.0215469653946693
"DGP C: Tweedie Semicontinuous",500,3,0.18,"DPglm",4.83663228076321,0.85500940808298,0.99934,0.267203643370712,51.351065583645,1.00283651436337,0.793360964621969
"DGP C: Tweedie Semicontinuous",500,4,0.115,"DPglm",4.83663228076321,0.85500940808298,0.99934,0.267203643370712,51.351065583645,1.00283651436337,0.793360964621969
"DGP C: Tweedie Semicontinuous",500,5,0.028,"DPglm",10.7579645951931,2.59899927123194,0.99714,0.64913575136628,73.4535849367213,2.92313429301461,2.58619228285266
"DGP C: Tweedie Semicontinuous",500,1,0.6,"Gamma Hurdle",0.128448721178488,0.031921408933504,0.9322,0.696920826522026,0.334466286655597,0.0380593345435547,0.0038396515154392
"DGP C: Tweedie Semicontinuous",500,2,0.397,"Gamma Hurdle",0.373161409424752,0.0794984807877877,0.9461,0.84773555863006,1.00283688633598,0.0966410257660161,0.0102218618739746
