"Metric","DGP_A_nburn500","DGP_B_nburn500","DGP_C_nburn500","DGP_C_nburn2000"
"Est ATE Mean",2.90204074249994,2.01002119687888,8.68482996897805,8.58425755897479
"Est ATE SD",0.432863894765806,0.218765876417163,1.18830971807546,1.16015996898553
"CATE RMSE",1.97536629054021,0.487620092971718,7.06675589344496,7.01650563036772
"CATE Abs Bias",0.252576492139878,0.312238336033086,1.47578724571489,1.37521483571164
"CATE 95% Coverage",0.951,0.985,0.995,0.993
"CATE Correlation",0.440076147870791,0.797399363997191,0.925599411507543,0.925905384792081
