"dgp","replicates","median_bp_p","rejected_at_0.05","median_residual_sd_ratio","median_relative_change","max_abs_relative_change"
"Linear DGP A (log-normal hurdle)",5,0.194032716491496,0.2,1.22833685049241,0.00873401774882288,0.0305874252396652
"Linear DGP B (Gamma hurdle)",5,0.0256179292238302,0.6,1.20479802172153,-0.0437327844282497,0.0853467093170385
"Linear DGP C (Tweedie)",5,2.90620518520558e-07,1,2.12273551691172,-0.177301224778111,0.19511435971804
"Nonlinear DGP A (log-normal hurdle)",5,0.312684150904533,0,1.20754414845417,0.0125272779445018,0.026034621690791
"Nonlinear DGP B (Gamma hurdle)",5,0.241526987599978,0.2,1.2681710728913,0.0249683755690526,0.0774133679638558
"Nonlinear DGP C (Tweedie)",5,0.000698698472573354,1,1.53715015851701,-0.251342639367304,0.325189445869696
