"Metric","BCF_Linear","ZIC_BCF_PathA","Tweedie_PathB","Joint_Copula_PathC","Gamma_Hurdle_PathD","Path_C_updated","Path_E","Path_C_A"
"Est ATE Mean",8.0750373503291,10.8833362071429,2.72863143180478,5.91295098393973,5.53661383902671,7.56477108949966,8.65307895583804,8.03303379679547
"Est ATE SD",0.393922510975539,1.38843164921563,0.0597915841234576,0.855265185397285,0.967008537428952,1.39769655862339,1.4924838375779,1.28370285380756
"CATE RMSE",9.98396732727866,9.10356064626198,16.6436446432,13.790931210799,17.8114619243284,10.9762449455338,10.8589621455369,10.5184619476814
"CATE Abs Bias",0.865994627065947,3.6742934838797,4.48041129145837,1.29609173932342,1.67242888423645,0.355728366236503,1.44403623257488,0.823991073532315
"CATE 95% Coverage",0.688,0.975,0.125,0.409,0.798,0.978,0.995,0.984
"CATE Correlation",0.853910210729717,0.907319606871275,0.751502903101267,0.670219439627302,0.273068882583047,0.805037127458938,0.806742912918836,0.819052823795744
