"DGP","N","ZI_Level","Zero_Proportion","Model","CATE_RMSE","CATE_Abs_Bias","CATE_Coverage","CATE_Correlation","CATE_CI_Length","ATE_RMSE","ATE_Abs_Bias","Hurdle_CATE_RMSE","Hurdle_CATE_Correlation","Hurdle_CATE_Coverage","Hurdle_CATE_CI_Length"
"DGP A: Log-Normal Hurdle",500,1,0.854,"BCF-Linear",3.06436817225013,0.33493425581549,0.86558,0.341044626656658,3.27196537307077,0.426811078458423,0.16877526368637,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,1,0.854,"ZIC-BCF-Smear",0.549601583190154,0.184313602880249,0.97714,0.766818282653341,2.27778913180983,0.247476420135479,0.0299809114328574,0.0363468622273857,0.774081146323247,0.98252,0.194864268844615
"DGP A: Log-Normal Hurdle",500,2,0.619,"BCF-Linear",3.72648748193276,0.627073383473724,0.8975,0.340217240389345,5.54127840297218,0.861405843533282,0.278660513336134,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,2,0.619,"ZIC-BCF-Smear",1.06944660195016,0.384792533025005,0.96756,0.685102619853861,3.44723421867197,0.483300131008566,0.211779709349649,0.0493250607022214,0.670314355827508,0.99182,0.279983330231585
"DGP A: Log-Normal Hurdle",500,3,0.367,"BCF-Linear",3.66203916620638,0.640462541772828,0.93194,0.184224828311988,6.31497825771435,0.849362372266345,0.282078408428869,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,3,0.367,"ZIC-BCF-Smear",1.52649422510898,0.475842086078099,0.9491,0.397000344120311,3.81862650389416,0.613701835213158,0.4056907693939,0.0460290284108184,0.246566928287427,0.99326,0.271009052950584
"DGP A: Log-Normal Hurdle",500,4,0.185,"BCF-Linear",3.54095557659709,0.546303716984827,0.92962,-0.0303202914376909,6.20055824127678,0.707680466482944,0.22717512775222,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,4,0.185,"ZIC-BCF-Smear",1.98605507575805,0.59278172613983,0.9203,0.0317635923989676,3.90979066188057,0.692998403973578,0.570041398366856,0.0330079683335189,0.18160174400977,0.98378,0.211132666976423
"DGP A: Log-Normal Hurdle",500,5,0.066,"BCF-Linear",3.98818121409212,0.598359425748219,0.92246,-0.0867023661745983,5.634719006445,0.86327382132534,0.293263460868222,NA,NA,NA,NA
"DGP A: Log-Normal Hurdle",500,5,0.066,"ZIC-BCF-Smear",2.3199496986632,0.704711474757396,0.8997,-0.164232547984867,3.9500752717532,0.797511197051436,0.694563610642675,0.0225635448630753,0.203166419145636,0.97786,0.131630806622903
"DGP B: Gamma Hurdle",500,1,0.851,"BCF-Linear",3.11780865844906,0.345687538589116,0.8551,0.338461253107388,2.90320243443368,0.426554250685198,0.189034184958648,NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,1,0.851,"ZIC-BCF-Smear",0.50405602318141,0.182864131261879,0.98174,0.726136927990405,2.40130607398834,0.24055849091501,0.0278973886836558,0.0363406433362373,0.772615500358578,0.98556,0.19499465798343
"DGP B: Gamma Hurdle",500,2,0.607,"BCF-Linear",3.77756538432594,0.535012936174189,0.91328,0.326695927307063,5.57934757794205,0.72639611865847,0.227382540703759,NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,2,0.607,"ZIC-BCF-Smear",0.993485581236014,0.389536006923476,0.97598,0.672379598263049,3.70467070074221,0.524445561712023,0.191300163748597,0.0498697214959804,0.673487968229082,0.98962,0.279615888931808
"DGP B: Gamma Hurdle",500,3,0.395,"BCF-Linear",4.0102631921771,0.64285305752997,0.92534,0.155535910126266,6.48948417638092,0.812277804581365,0.253314019330454,NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,3,0.395,"ZIC-BCF-Smear",1.38038856100565,0.491343757368784,0.95718,0.398350321190837,4.17429147753162,0.650462599698672,0.338520216909604,0.0458557413945475,0.261426126828068,0.9934,0.270559523834219
"DGP B: Gamma Hurdle",500,4,0.181,"BCF-Linear",3.82292138287737,0.67144658478292,0.92308,-0.0341375898614028,6.24709121528339,0.805597941339209,0.253929953341009,NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,4,0.181,"ZIC-BCF-Smear",1.81608390563775,0.618965058967154,0.9302,0.0299790402963263,4.40166289476818,0.774854359008337,0.48603005439418,0.0337420866249953,0.177337719875334,0.98214,0.214270200515424
"DGP B: Gamma Hurdle",500,5,0.049,"BCF-Linear",4.00158109654103,0.639244806175349,0.92798,-0.0835743514590381,6.20258399402839,0.771590207354793,0.267166214879884,NA,NA,NA,NA
"DGP B: Gamma Hurdle",500,5,0.049,"ZIC-BCF-Smear",2.09662699434986,0.682354644952117,0.91978,-0.164418955474584,4.49647704646818,0.82987068221613,0.589315365137692,0.0230351672353165,0.194869839140135,0.9736,0.134460255927598
"DGP C: Tweedie Semicontinuous",500,1,0.6,"BCF-Linear",0.31962727342336,0.0397629306065359,0.87928,0.505134990820762,0.445885828827655,0.0480699548922311,0.0151911959677637,NA,NA,NA,NA
"DGP C: Tweedie Semicontinuous",500,1,0.6,"ZIC-BCF-Smear",0.109385280348157,0.0367293882668742,0.9773,0.80032943607407,0.318331452876618,0.0450820474954794,0.000878464084472748,0.044958425592131,0.617829517422752,0.97894,0.283727715484479
